PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,study,climate,Austin,world,warming,record,point,departure,hot,scientist,release,report,future,last,week,reach,change,tip,hottest,city,new,global,decade,temperature,time,certainty,Nature,summer,past,dozen,we,give,average,go,author,put,less,data,model,shortcoming,skepticism,back,continue,greenhouse,gas,cause,1998,timetable,emission,ocean,appear,group,panel,degree,triple_digit,Hawaii,know,perhaps,do,favor,taste,per,heat,1898,2000,however,reality,hotter,worse,july,august,publish,journal,2058,take,five,accord,never,lead,coldest,warmer,combine,three,pinpoint,265,worldwide,include,tropically,locate,move,irreversibly,among,whole,2047,skeptic,denial,healthy,root,willful
,12,9,8,7,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 15, 2013 Tuesday",11 of 90 DOCUMENTS,Austin American-Statesman (Texas),LETTERS TO THE EDITOR,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A06,,892 words,,,"January 22, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,gun,change,people,climate,need,take,world,government,Texas,science,committee,right,look,state,serve,call,nut,military,tough,hagel,Austin,play,exciting,role,jan,blinder,technology,interest,believe,include,human,partisan,development,new,lead,innovation,economy,good,representative,high,temperature,we,reduce,give,child,nation,result,teacher,afraid,many,ballot,exceptional,pick,honor,country,time,Republican,Science_Committee,Congress,America,NRA,editorial,claim,member,miss,opportunity,highlight,jurisdiction,far,reader,due,combination,factor,natural,cycle,sun,spot,activity,create,forum,hear,expert,draw,reasoned,conclusion,process,focus,fact,rather,agenda,beyond,discovery,exploration,space,oversee,billion,budget,percent,touch
,11,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 15, 2013 Sunday",12 of 90 DOCUMENTS,Austin American-Statesman (Texas),To say Earth not warming is head-in-sand claim,W. Gardner Selby American-Statesman Staff,METRO; Pg. B1,,778 words,,,"December 16, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,warming,Smitherman,global,climate,ocean,temperature,planet,we,email,claim,time,Texas,Earth,average,surface,past,include,international,change,state,decade,atmosphere,risen,greenhouse,gas,increase,reach,conclusion,predict,late,cool,scientist,story,professor,period,contact,point,tell,deep,climatologist,national,heat,trend,lead,end,Barry_Smitherman,University,Tobis,Nielsen_Gammon,Hayhoe,cherry_picking,candidate,attorney,general,respond,activist,nov,donna,battle,hoax,later,comment,blast,recipient,reporter,chair,contradict,latest,word,body,regularly,sift,scientific,finding,related,october,2013,intergovernmental,panel,report,intend,policymaker,system,unequivocal,1950,many,observe,unprecedented,millennia,warm,amount,snow,ice,diminish,sea,level,concentration,curious,campaign
,14,7,6,6,6,6,5,5,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 21, 2013 Sunday",13 of 90 DOCUMENTS,Austin American-Statesman (Texas),Congregations produce guide on how to go green with God,Juan Castillo American-Statesman Staff,METRO; Pg. B1,,603 words,,,"May 7, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,manual,congregation,Folberg,religious,people,network,faith,climate,Austin,carbon,change,generation,child,religion,environment,go,belong,saturday,document,design,help,place,reduce,become,positive,follow,waste,use,if,community,create,believe,group,Earth,VandeStadt,relationship,often,portray,emerge,alliance,really,old,story,rev,tom,vandestadt,back,bible,tradition,teaching,we,good,steward,pastor,similar,message,glean,coalition,leader,release,call,groundbreaking,worship,greenhouse,gas,emission,present,festival,produce,collaboration,organization,five,local,saint,episcopal,development,tip,cover,myriad,thing,energy,water,efficiency,improve,management,dioxide,combine,million,pound,beth,israel,commit,form,team,lead,participation,free,assessment,facility
,10,7,6,5,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 6, 2013 Monday",14 of 90 DOCUMENTS,Austin American-Statesman (Texas),U.S. Rep. Smith endures rigors of bipartisanship,Jonathan Tilove American-Statesman Staff,MAIN; Pg. A1,,1044 words,,,"May 7, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,Smith,science,grant,committee,retreat,climate,go,bipartisanship,member,last,week,student,back,hearing,rep.,bipartisan,process,Bill_Nye,National_Science_Foundation,smith,chairman,whose,district,include,assume,beginning,half,call,talk,nye,video,change,interview,make,great,school,discussion,guy,seem,letter,try,congressional,suggest,yahoo,determine,every,explain,scientific,hard,take,draft,accountability,taxpayer,dollar,good,goal,without,much,loaf,less,subject,evidence,Nye,Austin,Johnson,American,NSF,lamar,antonio,lesson,four,maintain,age,difficult,rocket,part,helm,something,do,least,century,invite,none,popular,educator,101,crisply,lay,cause,consequence,global,warming,end,unambiguous,note,current,crisis,reality,can
,15,14,8,7,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 6, 2013 Sunday",15 of 90 DOCUMENTS,Austin American-Statesman (Texas),Proposal: Eliminate key tax on business,Laylan Copelin lcopelin@statesman.com American-Statesman Staff,MAIN; Pg. A01,,1819 words,,,"January 6, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,tax,state,business,margin,eliminate,fix,gross,receipt,billion,make,session,revenue,cost,texas,grow,without,replace,leader,climate,use,need,last,company,million,rate,NFIB,Newton,phase,cut,public,education,legislative,pay,another,creation,think,group,change,week,sell,deduct,Texas,federal,conservative,lawmaker,profit,budget,already,economy,increase,help,invest,good,independent,can,private,member,next,time,small,try,taxpayer,study,bill,job,legislature,three,deduction,goods,half,may,equipment,Hilderbran,Drenkard,Colyandro,movement,call,complicated,attractive,replacement,might,raise,percent,total,must,2011,school,system,2006,purpose,water,transportation,executive,director,service,start,sector,claim,est
,63,27,25,17,10,8,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 16, 2013 Wednesday",17 of 90 DOCUMENTS,Austin American-Statesman (Texas),LETTERS TO THE EDITOR,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A10,,878 words,,,"January 21, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,solar,science,credit,majority,House,jan,panel,tax,editorial,much,member,climate,change,make,many,people,city,cost,electricity,mandate,national,GOP,unfit,corner,need,way,longer,something,concerned,ask,leadership,global,article,rooftop,recommend,installation,excess,value,consume,utility,end,reset,zero,effect,home,violent,thousand,intruder,blight,resident,visual,promise,gop,claim,represent,fight,increase,republic,Republican_Party,U.S.,Austin_Energy,Dana_Milbank,wear,blinder,thank,take,strong,stance,incredibly,dangerous,attitude,rep.,paul,broun,leader,anything,name,back,give,graceful,step,inability,act,damage,planet,legislation,carbon,correct,major,flaw,market,without,mention,benefit,voice,critical,acceptable,talk,reckless
,7,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 22, 2013 Friday",18 of 90 DOCUMENTS,Austin American-Statesman (Texas),'Six Seasons' puppet show examines environment,Arianna Auber American-Statesman Staff,LIFESTYLE; Pg. D02,,1166 words,,,"February 24, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,p.m.,friday,show,march,Reck,puppet,landscape,world,issue,sundays,st.,puppetry,set,around,five,six,season,climate,change,e.,w.,play,7:30,sunday,free,Friday_Saturday,Harlem_Renaissance,twist,theater,environmental,society,make,affect,earth,try,puppeteer,farmer,work,certain,tree,release,dance,short,production,direct,present,center,open,ave,opera,perform,st,n.,lamar,blvd,sake,movie,Thursdays_Saturdays,Kelly_Willis,Austin_Community_College,Robert_Dedman_Drive,rather,concentrate,manipulate,rendering,company,experiment,run,form,writer,director,call,dub,alter,throughout,depict,consequence,different,village,stilt,high,plain,detailed,carefully,craft,hand,take,less,minute,bit,rope,point,reason,look,suppose,identify,specific,character,happen
,22,11,7,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 14, 2013 Monday",25 of 90 DOCUMENTS,Austin American-Statesman (Texas),LETTERS TO THE EDITOR,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A06,,1011 words,,,"January 22, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,gun,ban,weapon,we,debt,new,go,right,keep,arm,NRA,jan,cliff,law,must,subsidy,help,much,around,everyone,back,many,tree,cut,elephant,talk,move,fact,every,reduce,Austin,bad,spend,hold,fed,control,tax,check,federal,state,city,individual,break,old,crop,government,austin.rr.com,toll,road,buy,christmas,matter,still,time,climate,change,high,feel,believe,billion,next,storm,cost,energy,heat,al,fully,certain,assault,bunch,corporate,rights,relinquished,true,let,run,country,already,militia,way,register,agree,citizen,bear,happen,head,Texas,Hagel,Israel,well_organized,well_regulated,Second_Amendment,meet,enemy,commentary,behind,cap,line,ceiling
,11,7,7,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
"February 8, 2013 Friday",26 of 90 DOCUMENTS,Austin American-Statesman (Texas),Cameras capture alarming ice melt,Lindsey Cherner American-Statesman Staff,LIFESTYLE; Pg. D01,,482 words,,,"February 16, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,ice,Balog,camera,chase,glacier,documentary,place,visit,problem,time,image,footage,change,team,retreat,run,project,beauty,amid,instance,lose,several,yet,photograph,stun,nominate,best,dentist,time_lapse,leave,political,leaning,skepticism,door,story,lack,thereof,direct,humanize,geological,phenomenon,use,show,alarming,devastation,work,acclaim,environmental,photographer,skeptic,climate,found,2007,mean,provide,visual,evidence,global,warming,affect,planet,chronicle,quest,create,record,major,glacial,formation,design,shoot,every,daylight,assemble,video,animation,demonstrate,dramatic,however,thing,quite,smoothly,treacherous,weather,destroy,lead,installation,customize,computer,chip,preserve,integrity,result,astonishing,take,remote,pristine,rarely,enormous,block
,10,7,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 18, 2013 Monday",27 of 90 DOCUMENTS,Austin American-Statesman (Texas),LETTERS TO THE EDITOR,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A10,,919 words,,,"February 24, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,feb,article,need,surplus,council,housing,we,must,parent,thing,child,decide,spend,money,voter,permit,agree,system,single,lack,many,teach,claim,city,know,give,fund,austin,skill,help,time,take,far,change,letter,editor,focus,problem,school,poor,quality,issue,teacher,program,hearing,word,public,point,bring,long,people,face,million,budget,already,middle,president,state,preschool,encourage,backlog,ever,coverage,right,adequately,fight,climate,address,comic,City_Council,Barack_Obama,woe,consistently,amaze,editorial,almost,always,aspect,obviously,multifacete,multitude,underfunded,rigor,university,include,cohort,tolerate,bad,manners,attention,span,disrespect,disciplinary,policy,drive,fear,repercussion,administration,break
,8,7,7,6,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 2, 2013 Sunday",28 of 90 DOCUMENTS,Austin American-Statesman (Texas),Greenhouse gas suit proceeding slowly Suit over greenhouse gases moves slowly,Asher Price American-Statesman Staff,METRO; Pg. B1,,598 words,,,"June 3, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,state,environmental,gas,Texas,agency,greenhouse,trust,regulate,argue,public,plaintiff,doctrine,judge,emission,apply,federal,proposal,file,brief,minor,among,effort,forward,group,act,district,give,argument,scientist,climate,change,part,law,water,case,regulation,court,global,warming,rulemake,take,commissioner,carbon,dioxide,thing,Texas_Commission,Environmental_Quality,quixotic,legal,push,move,signale,turn,blind,eye,lawsuit,begin,little,coalition,across,country,pit,child,teens,perceive,slow,unexpected,small,foothold,last,summer,credence,key,range,toddler,link,duty,guard,current,future,generation,counter,common,know,exclusively,conservation,find,natural,resource,roll,use,strategy,successful,ultimate,fate,likely,decide,higher,skirmish
,8,8,7,7,6,6,6,5,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 27, 2013 Thursday",32 of 90 DOCUMENTS,Austin American-Statesman (Texas),Austin seeks Fayette plant options,Marty Toohey American-Statesman Staff,METRO; Pg. B1,,895 words,,,"June 28, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,plant,city,coal,Austin,option,Fayette,member,shut,carbon,emission,range,council,gas,Austin_Energy,call,report,sell,power,natural,facility,make,think,though,discussion,produce,wind,utility,reduce,recently,Electric_Utility_Commission,end,resolution,leffingwell,broad,cut,need,portion,sale,seem,electricity,relatively,combine,climate,night,allow,probably,reduction,earlier,plan,cost,million,critic,leave,week,executive,new,step,last,run,gradually,take,Los_Angeles,Environmental_Protection_Agency,worried,effort,reliance,bogging,expect,thursday,carry,early,2015,finish,comprehensive,lay,share,mile,southeast,draft,cosponsored,mayor,lee,nine,present,conclude,swap,disappointed,seek,little,progress,appear,issue,ask,limited,fall,understanding,may,workable,tie
,15,12,11,11,8,7,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 22, 2013 Sunday",33 of 90 DOCUMENTS,Austin American-Statesman (Texas),PolitiFact: Recaps of recent fact checks,Statesman Politifact Team,INSIGHT; Pg. E2,,382 words,,,"December 23, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,vote,Cornyn,warming,stockman,conservative,statement,recent,poll,increase,tax,obamacare,politifact,Texas,U.S.,run,hoax,scientist,climate,point,less,lose,voter,hear,fund,debt,raise,bailout,texas,John_Cornyn,pants,fire,smitherman,chair,attorney,general,email,global,worldwide,beg,differ,put,recently,system,unequivocal,unprecedented,camp,news,article,quote,evidence,model,project,however,happen,every,always,false,congressman,suburb,challenging,senior,senator,grounds,enough,suggest,matchup,gov,rep.,ron,paul,pitted,race,show,ahead,rep,louie,gohmert,biblical,scholar,former,gop,vice,chairman,texan,almost,certainly,know,member,long,leader,think,reasonable,consider,bail,bank,half,true,2008,financial
,8,8,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 14, 2013 Monday",34 of 90 DOCUMENTS,Austin American-Statesman (Texas),Charter school demand unmet,Kate Alexander American-Statesman Staff,MAIN; Pg. A1,,1137 words,,,"October 16, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,charter,school,state,new,Texas,education,change,student,campuse,Dunn,four,public,traditional,application,process,good,least,next,percent,applicant,group,commissioner,operator,network,financial,grow,fund,back,bond,pass,last,may,veto,available,gradually,limit,215,305,legislative,leader,part,serve,five,early,must,agency,refer,family,resource,run,grant,executive,director,rigorous,allow,growth,area,wait,across,expand,program,help,lower,borrowing,cost,foster,issue,selection,homegrown,cream,best,recent,policy,bolster,ability,legislation,streamline,renewal,improve,think,go,continue,billion,endowment,secure,select,rating,authority,Williams,Texas_Education_Agency,Feinberg,low_performing,political,demand,appear,outpaced,actual,supply,startup
,38,35,17,9,8,7,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
"November 13, 2013 Wednesday",36 of 90 DOCUMENTS,Austin American-Statesman (Texas),FORMULA ONE FOR SUCCESS,Dave Doolittle American-Statesman Staff,LIFESTYLE; Pg. D1,,2380 words,,,"November 13, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
,fish,race,rice,season,oil,steam,serve,minute,heat,poutine,mussel,cook,ginger,tbsp,go,recipe,water,way,wine,pepper,sauce,try,love,chicken,place,pour,potatoe,cup,think,find,eat,meal,challenge,hot,wok,time,peanut,crisp,cut,make,gravy,lamb,mince,add,something,fries,prepare,ketchup,food,win,many,throughout,family,cooking,cheese,curd,racing,much,team,thing,good,chop,everybody,bacon,use,heavy,cover,fry,butter,shallot,garlic,inch,bowl,remove,white,Formula_One,formula,practice,breakfast,car,remember,finish,small,country,culinary,shrimp,paella,strategy,part,head,driver,entire,red,snapper,little,start,look,great,marinate
,14,14,14,13,13,13,12,12,11,10,10,9,9,9,8,8,8,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"February 14, 2013 Thursday",37 of 90 DOCUMENTS,Austin American-Statesman (Texas),LETTERS TO THE EDITOR,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A08,,826 words,,,"February 17, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 The Austin American-Statesman                               All Rights Reserved
