PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,work,bee,beekeeping,job,Austin,suit,hife,pesticide,include,Texas,ago,leave,honey,honeycomb,farmer,press,class,call,neonicotinoid,population,recently,use,system,scientist,accord,report,decline,crop,hair,career,five,thing,take,business,beekeeper,Pakistan,Lubbock,CIA,wrapping,decade,intelligence,policy,behind,vest,tend,dozen,around,have,trade,protective,gear,another,meister,supplies,gorgeous,delectable,bit,raw,local,restaurant,become,something,activist,chapman,member,group,environmentalist,researcher,regulate,threaten,pollinator,announce,cease,golf,course,disrupt,central,nervous,insect,paralyze,blame,ongoing,collapse,roughly,third,food,chain,result,pollination,happen,field,2015,find,2008,2013,abundance,across,nearly,quarter
,7,7,6,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 3, 2016 Thursday",18 of 88 DOCUMENTS,Austin American-Statesman (Texas),Environmental groups to protest at parks meeting,Asher Price American-Statesman Staff,METR; Pg. B1,,756 words,,,"November 3, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,pipeline,Warren,project,security,meeting,thursday,protest,Texas_Parks,Dakotas,threat,involve,company,protester,oil,commission,Dakota_Access,Texas,official,commissioner,board,big,bend,region,gas,lead,issue,water,tribal,attention,member,among,political,state,warren,give,group,work,workshop,wednesday,range,authority,room,spokesman,directly,many,beneath,reservation,supply,september,activist,appear,way,point,blowing,ask,call,easement,Wildlife,Greg_Abbott,Energy_Transfer_Partners,Trans_Pecos,Wildlife_Department,Pierce,Havens,tightened,ahead,concern,own,target,appoint,ago,gov,ceo,building,bitter,climate,change,quality,power,standoff,especially,charge,incident,personnel,draw,national,glare,shine,whose,routinely,rank,highest,campaign,donor,republican,"700,000",2013,environmental,prepare
,13,7,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 28, 2016 Sunday",19 of 88 DOCUMENTS,Austin American-Statesman (Texas),Voice of Texas business moves on after 19 years,Tim Eaton American-Statesman Staff,BUSI; Pg. F1,,856 words,,,"August 29, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,Hammond,business,state,Texas,industry,system,make,many,leave,work,education,need,policy,Gullahorn,lobby,lawmaker,lot,lobbyist,success,environmental,issue,hand,former,head,tax,sure,hammond,reform,eas,permit,texas,still,school,level,long,people,fill,technology,job,across,health,professional,care,old,legislator,poverty,much,advocacy,play,put,other,association,friend,always,voice,look,climate,call,consumer,time,Smith,member,prominent,nearly,outgoing,mouthpiece,shepherd,legislation,attractive,despite,legislative,victory,problem,remain,unsolve,prepare,five,different,governor,w.,bush,fight,keep,low,regulation,overly,burdensome,ensure,stumble,hurdle,might,hinder,growth,change,tell,interview,announce,step,end
,16,11,9,8,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 29, 2016 Friday",20 of 88 DOCUMENTS,Austin American-Statesman (Texas),A tale of two restaurants at South Congress Hotel,Matthew Odam American-Statesman Staff,A360; Pg. T4,,1614 words,,,"April 29, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,restaurant,brunch,dinner,Central_Standard,hotel,lunch,Café_No_Sé,salad,South_Congress_Hotel,food,room,serve,hour,p.m.,New_York,service,café,sé,dining,point,toast,bread,rating,a.m.,complimentary,parking,three,bar,aesthetic,tile,sea,beneath,breakfast,menu,make,note,egg,best,town,light,top,cake,touch,chicken,sandwich,dish,heart,feel,morning,view,oyster,Austin,little,city,well,deliver,part,culinary,place,design,cool,later,date,cloud,pluck,vibe,daily,complement,though,throughout,avocado,bright,ricotta,pastry,butter,citrus,give,fish,bowl,tuna,influence,braise,peanut,better,burger,wrong,double,find,herb,tangy,potato,another,salty,despite,flavor,cafe,sense,destination,style
,10,10,10,10,9,8,8,7,7,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 12, 2016 Tuesday",21 of 88 DOCUMENTS,Austin American-Statesman (Texas),5 things to look for in Obama's final State of the Union address,American-Statesman Staff,MAIN; Pg. A1,,506 words,,,"January 13, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,expect,address,speech,president,give,final,state,look,try,account,Barack_Obama,Union,Congress,Obama,p.m.,tuesday,breakup,note,unlike,typical,long,wish,list,item,pass,executive,action,gun,show,work,closely,office,retrospective,obama,back,well,forward,sell,people,accomplishment,effort,begin,shape,legacy,push,reach,wider,audience,debute,snapchat,image,name,whitehouse,stream,live,tee,election,successor,away,tout,progress,watch,climate,change,expand,gay,rights,improve,economy,message,vote,let,republican,reverse,course,represent,austinite,among,guest,seat,student,tell,vice,wife,last,spring,return,classroom,decade,chief,security,downtown,101st,airborne,division,patch,2008,campaign,American
,8,7,6,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 27, 2016 Wednesday",22 of 88 DOCUMENTS,Austin American-Statesman (Texas),Texas asks high court to stop EPA power plan,Asher Price American-Statesman Staff,METR; Pg. B3,,218 words,,,"January 27, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,Texas,state,Obama,Clean_Power_Plan,way,last,week,ask,court,administration,d.c,power,plant,carbon,emission,coal,plan,energy,undaunted,decision,federal,judge,go,dozen,announce,tuesday,supreme,put,brake,environmental,policy,halt,litigation,continue,effort,cut,scientist,link,climate,change,likely,lead,shutter,fuel,run,dispute,industry,war,policymaker,call,rule,harm,economy,constitute,grab,panel,deny,petition,stay,kill,job,significantly,raise,electric,bill,americans,attorney,general,ken,prepare,statement,environmentalist,official,look,tamp,invest,cleaner,source,instead,fight,regulation,price,twitter,asherprice,U.S.,EPA,Circuit_Court,Washington,Republican,West_Virginia,three_judge,Circuit,Paxton,Contact_Asher
,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 26, 2016 Friday",24 of 88 DOCUMENTS,Austin American-Statesman (Texas),Candidates to face off in congressional primaries,Asher Price American-Statesman Staff,METR; Pg. B1,,1425 words,,,"February 26, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,degree,district,issue,run,website,university,main,bachelor,education,promote,U.S.,Prof_ession,congressional,Home_town,rep.,face,businessman,wage,business,reduce,debt,profession,Texas,november,democrat,primary,unopposed,spend,include,texas,software,tax,national,veterans,hometown,support,Edu_cation,candidate,republican,voting,end,western,percent,minimum,2014,we,state,call,nomination,military,federal,master,security,opportunity,college,austin,lower,immigration,oppose,rein,R_Austin,Austin,San_Antonio,gerrymandering,county,chair,vote,cadien,educator,gallaher,katy,government,country,return,well,flore,challenger,conservative,ralph,patterson,work,metal,fabrication,family,protect,sim,graduate,regulation,energy,lamar,smith,engineer,border,defend,seat,vakil,hospice,increase,climate
,15,14,14,13,13,12,12,9,9,7,7,7,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 29, 2016 Sunday",26 of 88 DOCUMENTS,Austin American-Statesman (Texas),"Terrain is only part of area's flood woes As communities in Flash Flood Alley creep ever farther into once rural areas, officials struggle to regulate construction; meanwhile, taxpayers' tab ticks upward.",Asher Price | asherprice@statesman.com,MAIN; Pg. A1,,1180 words,,,"June 1, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,flood,million,claim,water,city,worth,crossing,road,plain,weather,low,property,community,flooding,way,include,risk,project,Central_Texas,Austin,Texas,bridge,people,last,consequence,creek,soil,carry,much,frequent,upgrade,area,become,federal,pay,increase,flash,state,downstream,mitigation,runoff,report,issue,statesman,Travis_County,American_Statesman,San_Marcos,Shunk,late,week,terrain,little,name,construction,building,official,home,1970,government,devastate,2015,engineer,extreme,expect,limited,moisture,air,amount,county,population,number,many,try,bigger,improvement,possible,run,well,worker,along,update,develop,development,may,site,detention,map,central,texan,asher,price,app,billion,insurance,Wimberley,FEMA,fail,destroy,miss
,20,13,13,12,11,9,8,7,7,7,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
"June 8, 2016 Wednesday",27 of 88 DOCUMENTS,Austin American-Statesman (Texas),Democrats pressed to revisit fracking stance Democrats pressed to toughen on fracking,Asher Price American-Statesman Staff,MAIN; Pg. A1,,657 words,,,"June 8, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,platform,party,language,committee,Locke,gas,frack,environmental,state,convention,work,people,adopt,serve,document,oil,natural,need,delegate,sponsor,aggressive,activist,floor,volunteer,thousand,signature,hold,member,resource,new,hydraulic,fracture,open,groundwater,contamination,call,deleterious,effect,company,advisory,drive,play,role,executive,do,might,Texas_Democratic_Party,San_Antonio,determine,press,stance,climate,change,gear,guerrilla,maneuver,next,week,jere,locke,run,nonprofit,long,involved,matter,recruit,gather,june,bid,force,stronger,onto,guide,candidate,democrat,statewide,elect,office,mean,sort,blueprint,back,victory,balance,conviction,pragmatism,whose,range,liberal,bastion,big,city,conservative,field,south,currently,bless,technology,extraction
,11,8,8,7,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 30, 2016 Sunday",29 of 88 DOCUMENTS,Austin American-Statesman (Texas),UT finds key role of Arctic waters,Marty Toohey American-Statesman Staff,METR; Pg. B1,,473 words,,,"October 31, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,nitrogen,ocean,oil,gas,Arctic,world,accord,researcher,new,finding,remove,ut,shelf,research,protect,energy,ice,Arctic_Ocean,important,previously,think,marine,continental,account,percent,global,add,environmental,administration,exploration,development,environment,develop,resource,economy,part,sea,alaska,U.S.,Obama,Alaska,Chukchi_Sea,water,health,implication,industry,amount,particularly,surge,last,three,decade,mainly,fertilizer,runoff,sewage,result,spike,side,effect,alga,bloom,toxic,fish,species,though,bacteria,naturally,excess,balance,keep,worldwide,throw,edge,continent,lie,underwater,arctic,removal,data,suggest,case,region,amber,hardison,whose,work,publish,wednesday,journal,support,department,university,concern,previous,prompt,restrict,around,response
,7,6,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 3, 2016 Sunday",31 of 88 DOCUMENTS,Austin American-Statesman (Texas),Creative Austinites' big plans for 2016,American-Statesman Staff,LIFE; Pg. D1,,2962 words,,,"January 4, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,Austin,work,time,restaurant,2016,new,plan,Carll,make,space,nonprofit,beer,include,run,special,movie,Nichols,event,art,public,life,sushi,last,Texas,recently,big,put,austin,world,become,launch,company,director,million,museum,kind,campaign,set,go,open,use,look,live,artist,give,might,business,midnight,Grachos,Jones_Center,Davis,back,graduate,already,change,bring,house,spirit,still,love,executive,transform,park,unique,show,organization,downtown,expand,meet,program,able,exhibit,least,spend,project,people,concert,thing,table,upcoming,food,owner,think,know,start,inspire,hard,every,next,goal,chef,feature,reach,service,2015,2011,son,yes,indie
,13,12,11,10,9,9,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"January 12, 2016 Tuesday",32 of 88 DOCUMENTS,Austin American-Statesman (Texas),UT expert develops gel to fix electronics,Marty Toohey American-Statesman Staff,MAIN; Pg. A1,,958 words,,,"January 13, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,gel,battery,flexible,yu,make,component,together,electronics,break,many,material,part,apply,team,hold,electrode,work,power,use,way,focus,research,crack,technology,field,someone,heal,problem,thus,ut,enough,self_healing,find,conduct,tend,charge,last,accord,report,city,potential,idea,advance,monitor,property,core,electronic,well,keep,electricity,require,process,molecule,tight,loose,something,envision,create,bendy,stretchy,patch,researcher,move,better,attempt,lu,store,energy,storage,rely,climate,next_generation,Nano_Letters,Yu,scramble,invent,future,world,brightest,mind,new,juice,university,goo,late,pair,publish,scientific,journal,breakthrough,implication,small,large,entire,hip,electric,car,market,illustrate
,14,13,9,9,8,7,6,6,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 14, 2016 Sunday",33 of 88 DOCUMENTS,Austin American-Statesman (Texas),Pope may stir debate in Texas over immigration,Sean Collins Walsh American-Statesman Staff,MAIN; Pg. A1,,1191 words,,,"February 15, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,pope,Texas,Catholic,state,visit,ju,degree,rez,border,immigrant,immigration,issue,percent,Abbott,government,Francis,share,republican,church,we,governor,bishop,Patterson,include,across,compassionate,go,give,hope,trip,policy,executive,faith,make,change,much,U.S.,Catholics,Garcia,Catholic_Church,behalf,order,security,ban,sanctuary,city,million,political,time,population,accord,latest,favor,mayor,attend,rodriguez,stop,mind,separate,lot,strong,support,pursue,people,true,oppose,abortion,gay,marriage,view,highlight,federal,president,legal,unauthorize,important,constitution,country,refuge,office,become,gain,wife,always,dialogue,leader,inequality,teach,party,create,coverage,francis,Democratic,high_profile,settler,priest,building,mission,week
,12,11,10,8,6,6,6,6,6,6,6,6,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
"May 20, 2016 Friday",34 of 88 DOCUMENTS,Austin American-Statesman (Texas),State water board OKs 50-year plan,Asher Price American-Statesman Staff,METR; Pg. B1,,627 words,,,"May 20, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,water,plan,state,board,demand,expect,basin,million,region,reservoir,population,official,group,regional,project,LCRA,development,county,forecast,increase,2070,supplies,roughly,2011,dring,available,chairman,statewide,way,old,likely,construction,decade,include,resource,percent,drought,climate,estimate,Texas_Water,Colorado_River,Austin,thursday,approve,newest,basically,road,map,meet,next,amid,steady,growth,boom,especially,acute,home,well,part,area,country,1.7,people,2020,3.2,likewise,annual,municipal,consumption,nearly,double,period,outstripping,current,2050,notable,truly,influence,devastating,lead,planner,rethink,amount,look,new,source,burnet,vice,whose,report,form,basis,conservation,remain,quickest,easiest,generate,add,emphasis
,20,12,7,5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 3, 2016 Monday",35 of 88 DOCUMENTS,Austin American-Statesman (Texas),"Check out 'Westworld,' 'Boyhood' and Green Day in October",Joe Gross American-Statesman Staff,LIFE; Pg. D1,,1019 words,,,"October 3, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,oct,new,time,producer,music,feature,change,film,make,third,best,movie,album,tv,right,season,episode,history,alternate,total,become,big,book,look,show,notice,reboot,starr,series,never,ever,think,cast,woman,give,game,thing,someone,general,revolution,story,still,voyager,oct.,remember,break,complicated,metal,many,director,matter,direct,may,criterion,really,linklater,actor,essay,black,star,fantastic,return,lot,likely,HBO,Austin,Netflix,release,horizon,october,take,pop,culture,blog,check,culture.blog.austin360.com,weekly,update,comic,always,date,subject,without,westworld,work,burn,along,j.j.,abram,galactica,dark,corny,1973,hbo,futuristic,nsfw,amusement,park,full
,18,7,7,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 14, 2016 Sunday",38 of 88 DOCUMENTS,Austin American-Statesman (Texas),Cruz woos religious voters in S. Carolina,Jonathan Tilove American-Statesman Staff,MAIN; Pg. A1,,1848 words,,,"February 15, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,Trump,Cruz,god,South_Carolina,Beck,people,cruz,candidate,percent,Christian,conservative,event,go,child,evangelicals,president,think,Iowa,Huffmon,religious,speak,voter,poll,can,talk,game,constitution,evangelical,primary,make,campaign,time,turn,vote,trump,look,Tommy,Donald_Trump,Tucker,friday,political,election,choice,way,live,life,â,find,might,without,know,may,need,accord,lead,base,long,perfect,anybody,really,take,another,New_Hampshire,God,Ted_Cruz,U.S.,Greenville,Rubio,Jackson,Dimsdale,bad,show,obvious,guy,open,memorize,along,raise,march,leader,we,spread,word,language,caucuse,depend,rallying,history,hope,change,s.c.,tend,prayer,back,introduce,christian,call,bold,kind
,18,16,11,10,10,9,8,8,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 22, 2016 Wednesday",42 of 88 DOCUMENTS,Austin American-Statesman (Texas),Austin loses out in bid for Smart City grant,Ben Wear American-Statesman Staff,METR; Pg. B1,,511 words,,,"June 22, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
