PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 24, 2018 Saturday",2 of 125 DOCUMENTS,The New York Post,"'Bake' climate news No doubt that it's changing, feds say",Ruth Brown,Sports+Late City Final; Pg. 8,,475 words,,,"November 24, 2018",ENGLISH,,,"Storm Warning: Extreme weather events like Hurricane Michael that hit Florida in October could become more common, according to a US report issued Friday that called climate change real and devastating. [Reuters]",,,Newspaper,"Copyright 2018 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,report,billion,climate,change,US,real,impact,hurricane,take,happen,sea,move,region,federal,friday,already,global,warming,extreme,weather,disaster,heat,end,century,depend,much,action,emission,warn,study,future,scientist,rise,become,flooding,level,increase,Trump,greenhouse_gas,government,release,massive,warning,devastating,president,mock,idea,congressionally,mandate,dozen,agency,bring,wildfire,wave,cost,economy,hundred,time,country,degree,hotter,curb,faster,point,history,modern,civilization,primarily,result,human,activity,feel,project,intensify,severity,largely,reduce,adapt,occur,run,"1,600",page,issue,rile,tweet,shatter,whatever,leave,doubt,planet,heating,glacier,snow,cover,shrink,ice,retreate,seas,acidic
"July 10, 2018 Tuesday",16 of 125 DOCUMENTS,The New York Post,S'bucks scraps plastic straws,Carl Stier,All Editions; Pg. 26,,178 words,,,"July 10, 2018",ENGLISH,,,,,,Newspaper,"Copyright 2018 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,starbuck,straw,plastic,change,eliminate,move,store,monday,make,commitment,percent,McDonald,bend,grow,environmental,concern,2020,ubiquitous,java,joint,affect,"28,000",largest,food,beverage,retailer,global,anticipate,billion,per,already,take,"8,000",we,location,strawless,lid,standard,compostable,material,regular,experience,roll,fall,meanwhile,announce,june,transition,paper,uk,eatery,beginning,september,honor,climate,accord,plan,reduce,greenhouse,gas,emission,2030,share,close,49.90,1.9,cstier,nypost.com,Starbucks,Single_use,Canada,Seattle,Vancouver,Ireland,Paris
,5,5,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 16, 2018 Tuesday",19 of 125 DOCUMENTS,The New York Post,Blas' Foolish Fossil Fuel Suit,,All Editions; Pg. 24,,214 words,,,"January 16, 2018",ENGLISH,,,,,,Newspaper,"Copyright 2018 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,de,city,Blasio,mayor,climate,oil,change,pension,fund,blasio,run,issue,announcement,sue,five,company,file,lawsuit,big,damage,do,deb,leave,cold,jan,nothing,wrong,travel,gym,armada,well,within,rights,divest,stock,sincerely,hope,administration,plan,invest,something,give,return,need,investment,pay,promise,kan,play,dangerous,game,cost,end,spend,ten,million,legal,fee,problem,fuel,major,source,hydrocarbon,pollution,frequent,flyer,really,fight,cancel,flight,take,promote,progressive,agenda,add,hot,air,atmosphere,elect,away,Hurricane_Sandy,Brooklyn,SUVs,Bill_Isler_Floral_Park_New_York_City,fossil_fuel,Ken_Meyer_Lawrence,New_York,Robert_Neglia_The_Bronx_Jet,globe_trotting,cross_country,Richard_Reif_Kew_Garden_Hills
,6,5,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 12, 2018 Monday",20 of 125 DOCUMENTS,The New York Post,Oil cos. blast Blas climate-suit ploy,Michael Gartland,Metro+Sports Extra; Pg. 10,,210 words,,,"February 12, 2018",ENGLISH,,,,,,Newspaper,"Copyright 2018 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,mayor,manufacturer,city,attack,de,campaign,oil,company,launch,big,back,Blasio,National_Association,ad,plan,sue,climate,change,set,monday,accountability,project,brainchild,blitz,highlight,call,politically,motivate,latest,example,take,march,order,activist,foundation,trial,lawyer,look,payday,taxpayer,senior,vice,president,general,counsel,blasio,announce,last,file,lawsuit,claim,fossil,fuel,produce,percent,gas,suit,seek,shift,cost,protect,impact,onto,do,nearly,create,existential,threat,hall,spokesman,slam,new,shadowy,group,fund,keep,fight,planet,future,Manufacturers,social_media,Hizzoner,deep_pocketed,Linda_Kelly,BP,Chevron,Conoco_Phillips,ExxonMobil,Royal_Dutch_Shell,Earth,global_warming,climate_change,Eric_Phillips
,4,4,4,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 18, 2018 Sunday",21 of 125 DOCUMENTS,The New York Post,Trump flies in for a look,Michael Hechtman,Late City Final; Pg. 4,,384 words,,,"November 19, 2018",ENGLISH,,,"On patrol: President Trump on Saturday eyes the California town of Paradise, which has been decimated by wildfires. [AP]",,,Newspaper,"Copyright 2018 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,forest,Trump,management,president,fire,later,family,shoot,California,Paradise,state,deadly,wildfire,spend,walk,ash,meet,tell,reporter,fly,back,change,add,people,great,three,youngster,wear,breathing,mask,hold,large,flag,welcome,continue,reel,saturday,child,greet,motorcade,pass,city,en,route,town,destroy,visit,consoling,californian,suffer,tragedy,northern,part,grieve,mass,popular,college,bar,outside,tough,look,death,place,next,d.c,mobile,home,park,remark,total,devastation,ask,tour,gigantic,blaze,mind,climate,call,hoax,respond,acknowledge,global,warming,contribute,little,bit,still,big,problem,though,hasten,incredible,job,begin,another,dig,reason,massive,costly
,6,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 14, 2018 Thursday",24 of 125 DOCUMENTS,The New York Post,Fast Takes,Compiled by Nicholas Rowan,All Editions; Pg. 25,,684 words,,,"June 14, 2018",ENGLISH,,,John Bolton.,,,Newspaper,"Copyright 2018 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,plan,call,go,lawmaker,gas,high,write,environmental,change,leave,job,role,influence,speculate,remove,ratings,al,jazeera,Trump,North_Korea,Bolton,NRA,environment,president,price,attack,charge,latest,protect,pension,face,many,danger,bust,employer,foreign,gray,history,state,mike,take,essay,author,John_Bolton,pro_gun,gun_control,CJR,Al_Jazeera,right,dem,care,democrat,tax,fight,global,warming,time,blame,party,cynical,strategy,politically,useful,climate,accuse,destroy,planet,better,line,lament,impact,family,kick,aside,purport,principle,favor,politics,myer,target,specifically,spearhead,manifestation,disingenuous,environmentalism,truly,recommend,instead,embrace,commitment,technology,consumer,knowledge,empowerment,restriction,key,stewardship,number,cruncher
,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 18, 2018 Monday",25 of 125 DOCUMENTS,The New York Post,RFK Jr.'s bid to put hex on Exxon,Carl Campanile,All Editions; Pg. 2,,204 words,,,"June 18, 2018",ENGLISH,,,Robert F. Kennedy Jr. [Getty Images],,,Newspaper,"Copyright 2018 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,New_York,memo,ExxonMobil,attorney,business,climate,obtain,authority,document,Exxon_Mobil,activist,jr.,send,secret,legal,general,eric,schneiderman,urging,ban,allegedly,misleading,public,decade,change,jan,2016,head,revocation,talk,impose,corporate,death,penalty,oil,giant,week,former,launch,security,probe,whether,misl,investor,cost,chance,corporation,must,certificate,operate,incorporate,elsewhere,exxon,mobil,subterfuge,amount,crime,humanity,right,delay,government,action,quarter,century,cause,massive,predictable,environmental,damage,"1,000",gas,station,billion,per,sale,accounting,percent,fuel,market,state,accord,Environmental,Robert_Kennedy,then_state,Post,Pace_Environmental_Litigation_Clinic,co_founded,Kennedy,New_York_State
,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 28, 2018 Sunday",30 of 125 DOCUMENTS,The New York Post,Climate change-up Plan to 'raise' park - right after $2M fix,Dean Balsamini,All Editions; Pg. 31,,673 words,,,"October 29, 2018",ENGLISH,,,"$INKING RETURNS: East River Park in lower Manhattan is a great venue for runners, but recently installed amenities will be bulldozed and buried under a $1.45 billion plan to protect the area from flooding. A mayoral rep insists the amenities will be replaced. [Helayne Seidman]",,,Newspaper,"Copyright 2018 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,park,new,plan,east,river,close,track,protect,flood,exist,city,million,resident,soccer,field,street,esplanade,space,go,section,foot,ton,feature,spend,2020,part,1.45,area,storm,surge,design,13th,raise,height,wall,construction,official,amphitheater,assure,provide,community,structure,add,recreational,use,week,public,elevation,flood_prevention,FDR_Drive,Manhattan,Stein,lift,mean,bulldozing,dollar,amenity,unveiled,last,bury,dirt,entire,oasis,½,scratching,head,flush,soon,2.8,deliver,resurface,run,work,begin,massive,billion,revise,elevate,surface,dump,soil,fill,rebuild,along,boost,pilings,underneath,erect,edge,lower,plunge,darkness,substation,sparking,transformer,explosion,knock,island,grid
,13,8,6,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 16, 2018 Friday",31 of 125 DOCUMENTS,The New York Post,How To Prevent Wildfires: Prepare for the Worst,,All Editions; Pg. 24,,365 words,,,"November 16, 2018",ENGLISH,,,California firefighters sifting through rubble. [Reuters],,,Newspaper,"Copyright 2018 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,fire,forest,California,home,need,Trump,president,life,tweet,people,lose,management,correct,firefighter,stop,area,flame,claim,climate,change,show,cut,path,issue,criticism,widespread,wildfire,intent,comment,help,control,frequent,misconstrued,choice,word,prez,pain,ash,nov,americans,watch,destruction,loss,every,put,risk,great,taxpayer,cost,take,preventative,measure,ditch,line,establish,ranger,give,additional,assistance,training,prevent,catch,immediately,drone,use,monitor,vast,chemical,apply,boundary,start,engulf,smoke,politician,sit,back,chair,real,many,evacuate,fear,join,million,acre,land,destroy,disbelief,result,cause,mismanagement,proper,federal,funding,compassion,everything,sympathy,threat,sorry,battle
,9,6,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 9, 2018 Sunday",32 of 125 DOCUMENTS,The New York Post,Don: Paris wants me!,eileen aj connelly and mary kay linge,Late City Final; Pg. 6,,374 words,,,"December 10, 2018",ENGLISH,,,"Riotous claim: Police battle protesters in Paris Saturday, as President Trump spun the unrest to claim he has the right idea on his climate policies. [Alain Jocard / AFP / Getty Images; AFP / Getty Images]",,,Newspaper,"Copyright 2018 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,Paris,Trump,president,French,protest,protester,saturday,people,US,tweet,morning,arrest,money,country,maybe,chant,hike,continue,return,comment,Paris_Agreement,crow,violent,prove,right,withdraw,global,pact,fight,climate,change,agreement,work,well,violence,unfolded,riot,pay,large,sum,much,third,world,questionably,run,order,protect,environment,we,trump,love,france,130,injure,authority,make,"1,000",fourth,straight,weekend,demonstration,start,opposition,fact,aim,curb,emission,part,suspend,last,week,criticize,government,care,rich,claim,news,wire,lead,daily,le,monde,reporter,find,evidence,support,lockdown,armored,truck,hiss,tear,gas,fill,central,ring,steel,surround,many,shop
,7,6,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 4, 2018 Sunday",33 of 125 DOCUMENTS,The New York Post,POSTSCRIPT - OPINIONS & IDEAS; Humanity Getting better all the time Think the world's going to hell in a handbasket? Stats from a new book show the opposite is true,SUSANNAH CAHALAN,All Editions; Pg. 34,,1541 words,,,"March 5, 2018",ENGLISH,,,"Despite all the forecasts of doom and gloom in today's news, psychologist Steven Pinker uses data to argue there's much to be optimistic about, in his new book (below).",,,Newspaper,"Copyright 2018 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,world,pinker,percent,write,country,time,source,less,fall,rate,Pinker,people,via,every,today,decline,growth,century,prejudice,joke,chart,population,income,increase,change,safer,richer,death,data,global,trend,literacy,life,live,child,include,new,enlightenment,argue,progress,single,problem,society,rise,spend,2010,2014,follow,education,disposable,thanks,drop,third,longer,expectancy,2015,part,democracy,nothing,triple,grow,CHART,bad,fact,best,ever,book,story,still,believe,better,2011,nature,show,smarter,make,measure,human,almost,existential,threat,score,decade,ago,become,work,housework,remember,mean,past,search,racist,homophobic,2017,sexist,another,use,small,hour
,24,14,13,10,10,9,9,8,8,8,8,7,7,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 17, 2018 Wednesday",35 of 125 DOCUMENTS,The New York Post,UNSAVORY SECRETS The terrifying truths behind your favorite foods will make you hungry for something else Fake 'n' bake,and Reed Tucker,All Editions; Pg. 29,,1203 words,,,"January 17, 2018",ENGLISH,,,"-The new Netflix documentary series ""Rotten"" explores the seedy side of popular ingredients. [NY Post photo composite]-Peanuts; honey; garlic; chicken; fish. [Shutterstock (3); Ileish Anna]",,,Newspaper,"Copyright 2018 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,honey,haughney,food,farmer,chicken,garlic,rotten,lead,fish,grow,produce,China,eat,we,case,much,buy,Chinese,concern,put,consume,certain,question,body,allergy,potentially,theory,find,another,longer,industry,might,import,product,store,corporation,raise,series,may,alarming,probably,mean,crime,particular,bottle,right,start,ask,reporter,answer,give,recent,massively,among,million,pollute,peanut,pesticide,chemical,water,antibiotic,many,think,global,bee,country,illegal,contain,recommend,use,majority,tariff,keep,least,bulb,well,end,process,prisoner,peel,avoid,seafood,lot,catch,ship,average,large,instead,bird,system,competition,US,California,issue,new,documentary,talk,head,able
,13,12,11,9,8,7,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
"January 29, 2018 Monday",36 of 125 DOCUMENTS,The New York Post,Better Living Through Lawsuits,Editorial,All Editions; Pg. 22,,293 words,,,"January 29, 2018",ENGLISH,,,,,,Newspaper,"Copyright 2018 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,big,sue,make,de,spend,pay,trigger,actually,use,company,fuel,plant,cause,climate,change,city,must,especially,settlement,mayor,apparently,mean,much,second,term,better,world,hey,cheap,way,boost,national,progressive,profile,time,pharma,have,do,huff,last,week,accuse,industry,opioid,crisis,hook,million,americans,exchange,profit,lawsuit,claim,save,life,yes,darn,drug,maker,medicine,ease,pain,people,sometimes,overuse,case,close,quickly,follow,suit,bp,run,car,factory,power,lawyer,charge,billion,fight,global,warming,beef,waterfront,oil,end,ask,keep,light,without,fossil,least,ton,new,nuclear,work,well,defendant,paint,evil,deep
,7,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 22, 2018 Thursday",37 of 125 DOCUMENTS,The New York Post,This is spring in NYC Four'easter buries Apple & beyond,Yoav Gonen and Natalie Musumeci,Late City Final; Pg. 8,,482 words,,,"March 22, 2018",ENGLISH,,,"Ice day for a walk: Determined sightseers cross the Brooklyn Bridge Wednesday, as one New Yorker braves the elements on Astor Place (below). [Paul Martinka; Matthew McDermott]",,,Newspaper,"Copyright 2018 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,degree,storm,snow,inch,tell,nor'easter,thursday,de,hit,state,p.m.,time,sunny,Blasio,wednesday,emergency,power,cause,area,assurance,accord,early,current,remain,Cuomo,Partly,may,sprung,someone,forget,fourth,three,week,big,apple,gov,declare,surround,county,result,bring,pile,pack,wind,reach,mph,test,great,take,proactive,measure,anticipation,heavy,wet,impact,line,dangerous,travel,condition,governor,activate,operation,center,deploy,300,member,aid,affect,utility,better,prepare,widespread,outage,previous,frankly,satisfied,appear,hardest,borough,13.8,11:55,10:48,11.7,p.m..,11:15,receive,7.6,8:30,p.m,end,stay,trajectory,frame,pretty,good,shape,morning,tomorrow,mayor
,9,6,6,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 29, 2018 Sunday",38 of 125 DOCUMENTS,The New York Post,PostScript Calling Out Junk Science,Editorial,All Editions; Pg. 38,,479 words,,,"April 30, 2018",ENGLISH,,,,,,Newspaper,"Copyright 2018 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,study,new,reproduce,finding,scientific,research,result,researcher,paper,regulation,Randall,NAS,find,good,key,report,wrong,confirm,claim,make,try,often,unable,way,cite,political,use,statistic,yet,basis,recommendation,government,law,biggest,psychology,policy,seek,Wood,EPA,hear,important,skeptical,chance,true,point,raise,eyebrow,half,publish,journal,probably,write,president,recent,column,professor,headline,2005,note,ioannidis,skepticism,fail,influential,2012,replicate,fully,landmark,hematology,oncology,scary,best,valid,community,remotely,enough,threat,validity,focus,abuse,many,can,shoddy,become,medical,social,movement,flaw,newsmaker,wood,negative,stereotype,implicit,bias,widely,embraced,especially,leave,subject,2015
,9,6,6,6,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 12, 2018 Sunday",42 of 125 DOCUMENTS,The New York Post,Water relief for Holy Fire,Dean Balsamini,All Editions; Pg. 24,,294 words,,,"August 13, 2018",ENGLISH,,,"Arson: The Holy Fire burns in Corona, Calif., Friday night - at one point reaching nearly the size of Manhattan - as the Golden State suffers a devastating barrage of blazes. [David McNew / EPA-EFE / REX / Shutterstock]",,,Newspaper,"Copyright 2018 N.Y.P. Holdings, Inc.                               All Rights Reserved"
,firefighter,make,allow,saturday,home,Holy_Fire,California,official,nearly,mile,percent,contain,blaze,burn,fire,wildfire,smoke,overnight,aerial,assault,gain,battle,tame,rage,morning,name,begin,monday,grow,square,size,declare,high,temperature,dry,grass,brush,difficult,handle,massive,hillside,watchful,eye,way,reduce,fuel,harder,flame,jump,roadway,resident,return,other,still,remain,evacuation,order,man,accuse,deliberately,start,appear,court,friday,arraignment,postpone,forrest,clark,several,outburst,claim,life,threaten,arson,charge,lie,hold,lieu,million,bail,across,earlier,longer,destructive,season,dring,warmer,weather,attribute,climate,change,construction,deeper,forest,largest,ever,north,destroy,119
,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
