PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 12, 2001, Tuesday",1 of 48 DOCUMENTS,The New York Post,"THAT'S A DEPARTURE FOR BUSH ; OKS POLLUTION STUDY, THEN FLIES TO EUROPE",VINCENT MORRIS Post Correspondent,All Editions; Pg. 028,,399 words,,,"June 12, 2001",ENGLISH,,,"WARM GREETINGS: President Bush stresses his commitment to reducing global warming yesterday before catching a flight to Madrid, Spain. AP",,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,Bush,president,pollution,global,reduce,European,warming,catch,flight,tour,promise,treaty,country,world,nation,urge,percent,require,issue,missile,defense,face,Spain,U.S.,United_States,offer,limited,support,fight,bid,blunt,criticism,european,have,accuse,zilch,hour,study,invest,research,new,technology,scientist,charge,cause,atmosphere,heat,recognize,responsibility,emission,set,mandatory,level,reduction,crimp,economy,emit,greenhouse,gas,americans,take,bolder,step,push,follow,lead,cut,2012,politician,leery,go,road,without,curb,united,front,confront,climate,change,cite,clear,link,pollutant,increase,surface,temperature,challenge,100,effort,rest,afternoon,overnight,stop,trip,overseas,saturday,predict,leader,find
,environmental,company,cost,portfolio,reduce,fund,Environmental_Leadership_Trust,trust,manager,mean,energy,Halliburton,invest,prevention,peer,2000,industry,stock,time,success,Naimon,Enron,unit,program,better,bottom,line,shareholder,show,outperform,believe,investor,green,socially,responsible,mutual,oct,1999,inception,10.92,percent,material,waste,holding,service,many,share,climate,change,spill,compliance,firm,buy,traditionally,leave,investment,think,polluter,case,unique,successful,pollution,philosophy,real,founder,president,overall,deliver,continue,proprietary,research,faster,find,thus,reinforce,emphasis,manage,follow,unconventional,approach,fare,quite,well,difficult,end,generate,return,7.42,500,lowest,exposure,distinct,competitive,advantage,order,make,issue,must,pass
,12,10,7,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 3, 2001, Wednesday",6 of 48 DOCUMENTS,The New York Post,ALL THINGS TO ALL PEOPLE  RESTAURANT REVIEW DISTRICT (IN THE MUSE HOTEL) 1/2 130 W. 46TH ST. (212) 485-2999,STEVE CUOZZO,All Editions; Pg. 044,,651 words,,,"January 4, 2001",ENGLISH,,,"The stage is set at District, a new eatery in the West 40s with a "" global"" menu and all the shimmer of Broadway. Jonathan Barth",,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,menu,make,district,waiter,time,District,sexy,ask,bar,church,claim,place,square,serve,start,take,light,plate,roast,hot,chef,creative,hit,check,restaurant,layer,work,warm,fennel,fish,chip,salmon,DeMarco,style,equally,tuck,away,embarrassing,afterthought,nook,behind,dining,room,next,door,explain,need,certain,number,foot,almighty,fully,know,bell,whistle,glitzy,office,tower,might,different,audience,seat,schedule,tourist,tasting,foody,luxury,box,free,spender,plus,lunch,breakfast,tomorrow,yet,plunge,must,shimmer,much,bright,break,heart,richly,conceive,dish,modest,price,pork,loin,prune,toddy,sauce,sauerkraut,earthy,alternative,weary,cafeteria,paprika,overdose
,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 8, 2001, Sunday",7 of 48 DOCUMENTS,The New York Post,BULL'S EYE,"Beth Piskora, Jessica Sommar & Erica Copulsky",All Editions; Pg. 059,,1024 words,,,"July 10, 2001",ENGLISH,,,"J.P. Morgan's JIMMY LEE. RICKY YUNE.
Fed Chairman ALAN GREENSPAN",,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,Greenspan,Wall_Street,BIS,make,fund,money,provide,vote,manager,board,take,morgan,bank,world,trader,U.S.,Yune,investment,banker,j.,p.,back,financing,away,turn,annual,report,act,share,risk,yune,play,gang,lord,movie,fast,Primedia,Asian,deal,fee,chase,week,look,ton,million,lead,move,firm,loan,partner,federal,court,know,feed,sit,powerful,central,global,asset,member,hold,investor,bis,part,hunk,discover,starr,work,people,later,trading,school,family,land,ad,fall,new,sure,big,hug,Emap,buyout_firm,Lenin,New_York,SoGen,Hollywood,Bill,slowdown,scrambling,way,generate,basis,cover,much,hotly,contest,auction,magazine,earlier
,9,8,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"April 24, 2001, Tuesday",8 of 48 DOCUMENTS,The New York Post,MEDIA WATCH: TIME'S WARMING RETREAT,,All Editions; Pg. 035,,578 words,,,"April 24, 2001",ENGLISH,,,Rocker wannabe? Allan Houston.  Steven Hirsch,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,time,human,magazine,basic,global,warming,make,ward,nature,percent,story,player,jew,reader,april,report,piece,planet,bush,point,several,earth,thanks,case,week,add,note,greenhouse,gas,responsible,probably,much,temperature,remark,word,local,coverage,call,league,baseball,context,George,man_made,Knicks,Rocker,take,remind,flaw,feeling,heat,environmental,manifesto,warning,win,important,admission,author,warn,except,nuclear,war,collision,asteroid,force,potential,damage,web,life,serious,issue,admit,nonetheless,w.,decide,abandon,1997,kyoto,treaty,combat,climate,change,companion,clear,imminent,danger,pollution,source,new,president,wear,blinder,anyone,miss,highlight,letter,hope,someone,read,with
,5,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 29, 2001, Tuesday",9 of 48 DOCUMENTS,The New York Post,HEADING BACKWARD - NEW YORK STATE'S RETROGRADE GOVERNMENT,Fredric U. Dicker,All Editions; Pg. 033,,803 words,,,"May 29, 2001",ENGLISH,,,"Former Comptroller Ned Regan's ""give to get"" principles are now standard operating procedure in Albany.  AP",,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,state,government,give,Pataki,leader,political,former,New_York,process,legislative,past,climate,law,think,office,secret,become,budget,governor,Albany,capitol,back,fiscal,assembly,speaker,memo,hundred,staffer,widely,embarrassment,thing,backward,administration,public,ago,press,meeting,information,virtually,rule,line,pool,party,make,budget_making,Comptroller_Ned_Regan,rare,agreement,leave,right,regression,envelop,1970,current,generation,cut,tooth,sense,road,badly,need,reform,adopt,new,infuse,arcane,create,commission,regulate,lobbying,influence,peddle,strengthen,ethic,memory,crisis,scandal,sen,fred,ohrenstein,phantom,employee,mel,federal,indictment,long,fad,lesson,teach,seem,lose,well,elect,official,thousand,work,ethically,morally,retrograde
,11,6,6,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 20, 2001, Tuesday",10 of 48 DOCUMENTS,The New York Post,IRAQI TERROR THREAT DRAWS BUSH AND SHARON TOGETHER,Niles Lathem,All Editions; Pg. 008,,493 words,,,"February 20, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,make,Middle_East,Saddam,form,Israeli,U.S.,Israel,Palestinian,may,coincidence,exercise,leader,week,test,dangerous,challenge,lot,strategic,strong,missile,survive,old,bin,militant,face,change,anti_missile,Bush,Arab,sophisticated,joint,take,place,three,jet,bomb,site,military,choose,weekend,vow,revenge,publicize,detail,include,code,name,whether,intend,dramatic,illustration,new,president,prime,ariel,force,closer,together,increasingly,complex,time,throughout,room,bad,thing,happen,think,interest,clear,relationship,become,less,soon,airstrike,recall,dark,1991,rain,retaliation,air,attack,operation,desert,storm,ten,later,stronger,bellicose,ever,isolation,prosper,collapse,sanction,effort,rebuild,prestige,world,champion,cause
,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 20, 2001, Friday",11 of 48 DOCUMENTS,The New York Post,BUSH IS TURNING A NEW LEAF - BACKS ENVIRO TREATY AIMED AT BANNING TOXIC CHEMICALS,Brian Blomquist Post Correspondent,All Editions; Pg. 006,,1155 words,,,"April 20, 2001",ENGLISH,,,"President Bush, flanked by EPA Administrator Christie Whitman and Secretary of State Colin Powell, leave the White House Rose Garden yesterday after announcing the United States will take part in an international treaty to reduce environmental toxins.  AP",,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,Bush,lead,treaty,arsenic,decision,pro,con,wetland,water,health,emission,billion,BUSH,president,reduce,level,global,warming,percent,Clinton,chemical,report,cause,per,support,company,new,drink,put,cut,include,work,release,use,many,business,100,keep,million,kill,gas,cost,part,Senate,long_term,CO2,aim,eliminate,group,dirty,dozen,sign,push,earlier,week,close,loophole,impose,requirement,environment,green,environmentalist,last,amount,worldwide,cancer,problem,people,clear,must,least,without,vote,ban,less,country,americans,public,pass,international,environmental,administration,key,proposal,require,lb,exposure,advocate,kyoto,trim,dioxide,land,world,scientific,expense,industry,lower,allowable,study
,11,9,8,8,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 3, 2001, Sunday",12 of 48 DOCUMENTS,The New York Post,CRASH COURSE IN SAFETY IT'S NOT JUST CELL PHONES THAT DISTRACT MOTORISTS,LEONARD GREENE,All Editions; Pg. 009,,692 words,,,"June 5, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,distraction,driver,cell_phone,use,drive,eat,phone,legislator,ban,safety,take,road,find,radio,back,law,problem,think,go,list,cell,car,Traffic_Safety,put,expert,hand,wheel,eye,station,new,official,kid,right,stop,offense,target,big,attention,research,top,study,adjust,vehicle,controls,drink,poll,motorist,call,device,cd,excuse,lawsuit,westchester,county,push,AAA_Foundation,hands_free,nationwide,public,backlash,dial,pave,way,crackdown,host,burger,makeup,anything,check,map,face,scrutiny,campaign,launch,across,country,interview,foresee,pull,ticket,turn,around,chastise,seat,climate,enforcement,factor,penalize,behavior,agree,unfairly,focus,solve,everyone,disservice,executive,director,network,organization
,9,9,9,7,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 29, 2001, Sunday",13 of 48 DOCUMENTS,The New York Post,THE MICK'S A MARVELOUS RIDDLE,Jimmy Cannon,All Editions; Pg. 076,,695 words,,,"August 3, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,run,Mickey_Mantle,guy,ball,hit,game,time,home,season,back,strike,kid,play,lead,thursday,another,climate,though,pass,stranger,give,name,seem,live,inning,bust,throw,away,dugout,series,three,five,across,strikeout,ago,keep,sit,hell,bubble_gum,chew_tobacco,Commerce,Ebbets_Field,league,youth,vary,existence,life,single,week,many,hot,summer,shiver,wonder,often,sun,set,noon,instance,big,clear,okla,genuine,easy,become,mix,weather,popularity,change,take,boy,famous,house,although,never,town,old,man,third,ajar,basis,fill,pitch,break,right,center,power,move,lightly,jog,gait,head,cocked,smile,plate,delegation,score,ahead,wait
,9,9,7,7,7,6,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 14, 2001, Wednesday",14 of 48 DOCUMENTS,The New York Post,ALAN GREENSPAN MAKES INVESTORS GO FOR 'SELL' BUTTON,Paul Tharp,All Editions; Pg. 055,,485 words,,,"February 14, 2001",ENGLISH,,,"DISAPPPOINTING: Alan Greenspan said the country isn't in a recession, which was bad news to traders.  AP",,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,percent,rate,Greenspan,economy,cut,federal,reserve,outlook,fall,back,recession,investor,another,still,sign,strategist,question,lose,report,sale,rise,increase,billion,last,Congress,Standard,Poor,put,hibernation,tell,stock,bond,sank,expect,chairman,give,dour,clearly,signale,march,although,ride,ahead,bumpy,produce,growth,2.5,end,analyst,cause,trader,scale,expectation,next,people,disappointed,cite,strength,chief,investment,market,free,pass,anything,fund,instead,ask,political,three,hour,tax,budget,thing,hear,drop,61.94,2.49,"2,427.72",1.7,industrial,average,43.45,0.40,"10,903.32",1.08,500,11.51,0.87,"1,318.80",leave,0.11,dashing,hope,quick,prior,speech,government,retail,january
,10,6,6,5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 18, 2001, Sunday",15 of 48 DOCUMENTS,The New York Post,SONG' TAKES FOUNTAIN,AP,Sport+Late City Final; Pg. 076,,482 words,,,"February 19, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,run,length,race,own,go,Hurley,songandaprayer,valentine,finish,colt,horse,winner,lose,top,pay,bobby,former,likely,next,wire,long,win,third,feature,expect,million,trainer,percent,stretch,lead,pace,fourth,take,bet,outofthebox,Florida_Derby,Kentucky_Derby,Songandaprayer,fla,sound,final,four,matchup,hurley,star,coach,triple,crown,contender,shot,"200,000",fountain,highly,tout,make,debut,allowance,follow,enter,march,chance,know,outstanding,wish,luck,maybe,sometime,satisfied,show,warm,layoff,seventh,rally,behind,tribute,ok,train,happy,keep,forward,wonderful,begin,weekend,pool,future,book,ground,mile,1:43,grade,purchase,last,crop,song,half,dozen,never,previously,spend
,7,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 15, 2001, Tuesday",16 of 48 DOCUMENTS,The New York Post,R.E.M.'S DEEP,Dan Aquilante,All Editions; Pg. 047,,951 words,,,"May 15, 2001",ENGLISH,,,"R.E.M. - (from left) Peter Buck, Mike Mills and Michael Stipe - has found a place that's light and happy.",,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,disc,band,album,song,still,find,feel,melody,reveal,rock,sound,use,singer,work,miss,rap,way,musical,hip_hop,Go_Go,r.e.m,electric,name,mind,yet,without,country,life,lyric,place,acoustic,blend,electronic,harmony,past,turn,people,little,listen,addictive,combine,rhythm,vocal,go,often,freak,make,music,tune,guitar,string,studio,try,god,bless,original,beat,mix,result,solo,record,quintet,outside,inside,roll,nicely,recall,track,Elliott,talk,recently,concession,bly,hillbilly,chic,r.e.m.,new,conjure,antebellum,pastoral,genteel,intellectual,sounding,wimpy,dozen,minus,permanent,drummer,departure,found,member,grow,trio,always,dangerous,speculate,songwriter,deep,cipher
,8,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 11, 2001, Saturday",17 of 48 DOCUMENTS,The New York Post,ROMANCING ROTH: SONY WAITS TO NAME JOE CHAIRMAN,PAUL THARP,All Editions; Pg. 019,,293 words,,,"August 13, 2001",ENGLISH,,,JOE ROTH Needs time.,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,Roth,Sony,take,roth,picture,revolution,studio,make,three,conflict,current,deal,chairman,extend,contract,end,time,sony,Sony_Pictures,Julia_Roberts,Adam_Sandler,Calley,step,closer,helm,struggle,independent,wooe,big,buck,global,clout,wait,least,bring,aboard,due,clause,spread,throughout,hollywood,keep,seat,warm,veteran,plan,retire,soon,sign,chief,2003,effectively,buy,half,may,face,industry,spend,less,production,company,exclusive,film,plus,investor,obligation,backer,include,use,extra,extension,work,career,path,tie,loose,intend,expand,role,relationship,november,agreement,expire,third,major,chair,head,20th,1994,2000,leave,form,openly,court,last,help,plow,million,set
,9,7,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 13, 2001, Thursday",18 of 48 DOCUMENTS,The New York Post,U.S. FLIER TELLS OF CRASH ORDEAL,Post Wire Services,Late City Final; Pg. 003,,750 words,,,"December 13, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,bomb,aircraft,bomber,foot,force,crew,pilot,crash,mile,Afghanistan,U.S.,four,eject,island,water,emergency,system,seat,several,target,recent,deliver,conventional,missile,speed,mph,air,go,control,mission,million,malfunction,north,hour,pick,ejection,violent,100,later,refuel,mark,carry,device,heavy,loss,build,war,wing,unit,buy,lb,officer,mk,Diego_Garcia,in_flight,Steele,precision_guided,member,pluck,daring,night,rescue,supersonic,jet,"15,000",280,shortly,take,base,plane,ocean,spend,navy,destroyer,thing,have,ever,feel,satellite,call,pretty,bruise,cut,overall,well,report,try,return,darkness,minute,multiple,unrelated,signal,transmitter,find,guide,flare,beacon,strobe
,10,8,7,7,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 5, 2001, Friday",19 of 48 DOCUMENTS,The New York Post,RUDY'S SEX-SHOP SUCCESS,Eric Fettmann,All Editions; Pg. 029,,816 words,,,"January 5, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,city,sex,neighborhood,Giuliani,mayor,crackdown,shop,industry,court,change,people,pear,campaign,effect,Times,story,failure,palace,business,major,uphold,store,topless,dancing,hard,ever,goal,right,crime,true,especially,together,value,last,accept,notion,seek,war,legal,part,fabric,public,ago,support,life,million,begin,feel,quality_of_life,sex_industry,final,office,expect,spate,revisionist,news,detailing,allege,fire,salvo,week,piece,suggest,bust,report,142,adult,operate,fewer,1998,launch,article,reason,resilience,repeat,ruling,provision,champion,percent,inventory,space,devote,video,area,can,accurately,measure,statistic,believe,really,think,drive,town,entirely,though,state,nature,importantly,surround
,9,6,6,6,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
