PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
,5,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 4, 2015 Wednesday",82 of 272 DOCUMENTS,USA TODAY,Embrace a clean- energy vision,Michael Brune,NEWS; Pg. 7A,,380 words,,,"February 4, 2015",ENGLISH,,,,,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,oil,energy,reserve,gas,good,policy,climate,fossil,fuel,save,drilling,news,fail,wrong,president,least,develop,disaster,catastrophic,last,change,coal,path,source,cut,Obama,American,administration,recent,announcement,illogical,mix,bad,contradiction,inevitable,result,aim,compromise,basic,test,right,vs.,clearly,understand,reason,deserve,kudo,stand,sacrifice,greatest,wilderness,profit,unique,environment,impossible,safely,question,whether,happen,much,know,consequence,long,still,recover,acknowledge,another,inescapable,reality,study,publish,journal,nature,show,avoid,unless,leave,untouched,third,half,current,light,fact,risk,destruction,public,land,coastline,find,extract,become,foolish,irresponsible,better,already,beginning,replace,revitalize,industry
,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 3, 2015 Thursday",99 of 272 DOCUMENTS,USA TODAY,China sides with U.S. for peace; 70th anniversary of victory over fascism recalls united battle,Cui Tiankai,NEWS; Pg. 7A,,742 words,,,"September 3, 2015",ENGLISH,,,photo Embassy of China,,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,international,China,order,U.S.,world,war,change,challenge,photo,never,development,American,ii,people,country,cooperation,share,community,current,president,Chinese,central,young,soldier,boy,justice,history,together,forget,peace,event,victory,side,include,important,value,play,role,maintain,regional,conflict,remain,many,climate,framework,reform,irrational,global,bank,difference,United_States,huge,photograph,hall,draw,visitor,attention,take,crouch,trench,hold,pigeon,hand,word,touch,heart,testament,create,deadliest,different,nation,united,defeat,fascist,force,immeasurable,cost,life,property,hatred,fad,away,free,host,thursday,commemorate,fascism,aim,remember,sacrifice,everything,celebrate,triumph,good,evil,honor,ally,fight,forever
,16,12,10,8,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 13, 2015 Monday",108 of 272 DOCUMENTS,USA TODAY,China is in Paulson's sights; Ex-Treasury chief sees 'reckoning' for that country,"Susan Page, @susanpage, USA TODAY",MONEY; Pg. 1B,,1197 words,,,"April 13, 2015",ENGLISH,,,"graphic Anne Ryan, USA TODAY",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,China,United_States,financial,economy,biggest,risk,global,economic,crisis,system,sort,deal,administration,happen,better,policy,change,new,question,debt,tool,take,make,help,need,bank,much,problem,binocular,go,threat,work,international,join,U.S.,Wendy,reckon,approach,former,government,regulation,create,way,respond,though,manage,interview,include,investment,nation,coordinate,toward,whether,ago,americans,table,wife,tree,grow,soon,significant,control,plenty,crise,every,necessary,have,time,recent,sparrow,last,think,become,climate,call,visit,official,president,big,political,hand,Hank_Paulson,American,Beijing,Paulson,Obama,Chinese_led,spoon_billed,scan,horizon,secretary,helm,serious,break,banking,stable,stronger,market,book
,18,9,6,6,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"May 5, 2015 Tuesday",111 of 272 DOCUMENTS,USA TODAY,We're open and accountable,"Dymphna van der Lans, and Walker Morris",NEWS; Pg. 7A,,361 words,,,"May 5, 2015",ENGLISH,,,,,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,foundation,work,Clinton_Foundation,charity,improve,support,government,global,world,life,make,people,community,smallholder,farmer,land,way,help,better,belong,group,initiative,head,extensive,background,development,corporate,philanthropy,draw,reason,"300,000",supporter,around,unique,philanthropic,model,organizationwide,focus,efficiency,innovation,impact,recently,question,raise,long,diverse,career,encounter,large,match,transparency,accountability,whose,mission,quickly,efficiently,sometimes,mistake,happen,committed,correct,need,scale,sustain,program,different,unlike,voluntarily,disclose,contributor,name,truth,something,return,business,together,address,problem,face,collectively,resource,fix,example,allow,we,train,"85,000",sustainable,technique,food,security,increase,income,combat,climate,change,funding,possible,local
,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 23, 2015 Thursday",113 of 272 DOCUMENTS,USA TODAY,Conversation starters,,NEWS; Pg. 7A,,335 words,,,"July 23, 2015",ENGLISH,,,,,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,disability,people,world,employer,science,climate,we,occupational,rarely,potential,negative,stereotype,access,training,program,job,change,love,allow,real,ADA,later,sunday,mark,25th,anniversary,americans,president,h.w,sign,law,refer,comprehensive,declaration,equality,fall,behind,nation,treat,segregation,major,barrier,interact,end,hire,take,gesture,rather,recognize,skill,worker,often,isolate,attitude,challenge,need,improve,higher,education,appropriately,tailored,break,ghettos,open,door,career,example,technology,help,disable,applicant,overcome,among,professor,message,miss,conversation,recognition,share,value,motivate,address,child,future,generation,inherit,unpredictable,dangerous,anything,experience,compassion,poor,stand,lose,everything,face,environmental,degradation,creation
,6,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 30, 2015 Friday",146 of 272 DOCUMENTS,USA TODAY,Senate passes Keystone despite threat of veto; White House wants more time to review oil pipeline,"Paul Singer, USA TODAY",NEWS; Pg. 3A,,389 words,,,"January 30, 2015",ENGLISH,,,"photo Jose Luis Magana, AP",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,bill,job,thousand,vote,thursday,pipeline,veto,environmental,process,Senate,White_House,Keystone,build,threat,pass,oil,republican,create,support,sen,president,drop,energy,review,oppose,increase,use,Canadian,American,Obama,controversial,keystone,xl,despite,three,week,debate,amendment,approve,tally,short,need,override,presidential,join,unanimous,caucus,mccaskill,morning,urge,colleague,measure,construct,pump,billion,economy,good,state,department,indicate,minimal,impact,scheme,tax,college,savings,hope,strengthen,security,new,essentially,close,various,version,allow,play,long,predate,administration,spokesman,wednesday,legislative,maneuver,circumvent,democrat,object,part,argument,sand,group,carbon,emission,speed,climate,change,tom,udall,tell,senator
,6,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 25, 2015 Wednesday",147 of 272 DOCUMENTS,USA TODAY,Obama vetoes Keystone Pipeline measure; Congressional override unlikely,"Gregory Korte, @gregorykorte, USA TODAY",NEWS; Pg. 1A,,318 words,,,"February 25, 2015",ENGLISH,,,,,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,veto,Obama,president,bill,pipeline,threat,issue,override,Keystone,vetoed,approve,proposal,take,seriously,short,national,interest,presidency,congress,Congress,White_House,Senate,McConnell,tuesday,make,good,reject,embraced,republican,job,measure,oppose,environmentalist,contribute,climate,change,presidential,power,legislation,responsibility,people,act,conflict,establish,executive,branch,procedure,cut,thorough,consideration,bear,include,security,safety,environment,earn,third,likely,last,parry,final,formal,far,ever,point,new,start,write,1985,shortly,arrive,hold,transmittal,session,go,unlikely,pass,margin,well,majority,need,vote,schedule,march,connect,tar,sand,crude,oil,exist,allow,pump,"830,000",barrel,refinery,gulf,coast,mean,end
,8,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 25, 2015 Wednesday",149 of 272 DOCUMENTS,USA TODAY,Pollution fight comes before the high court; Clean air rules are at issue in key case,"Richard Wolf, @richardjwolf, USA TODAY",NEWS; Pg. 3A,,365 words,,,"March 25, 2015",ENGLISH,,,"photo Mark Wilson, Getty Images",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,case,rule,cost,billion,environmental,save,life,mercury,court,regulation,opponent,EPA,air,dollar,toxic,plant,illness,benefit,high,law,appropriate,potential,emission,annually,reduce,thousand,consider,today,portend,future,battle,climate,change,challenge,government,crackdown,airborne,pollutant,latest,series,reach,conservative,majority,tread,lightly,president,initiative,bigger,showdown,ozone,yet,focus,make,power,prevent,premature,death,asthma,cancer,heart,disease,overstate,understate,must,decide,whether,follow,letter,direct,agency,regulate,electric,utility,deem,necessary,word,require,estimate,side,apart,particularly,limit,worth,million,advocate,count,avoid,significant,history,director,institute,among,winner,upheld,pregnant,woman,fetuse,whose,brain
,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 9, 2015 Tuesday",154 of 272 DOCUMENTS,USA TODAY,"Leaders to target economy, climate change, terrorism, Ukraine conflict","Kim Hjelmgaard, USA TODAY",NEWS; Pg. 5A,,247 words,,,"June 10, 2015",ENGLISH,,,"photo Michael Kappeler, AP",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,leader,Ukraine,call,meet,Russia,Russian,seven,summit,take,economic,conflict,group,meeting,end,remain,sanction,separatist,last,president,place,world,major,industrial,democracy,wrap,monday,pledge,action,global,problem,range,climate,change,volatility,terrorism,host,news,conference,use,fossil,fuel,century,urge,part,find,way,budget,constraint,require,new,loan,reiterate,continue,cease,fire,fully,honor,represent,u.k.,resort,mountain,normally,attend,annual,barred,annexation,back,fight,eastern,ukraine,near,border,refuse,united,expansion,vow,security,force,train,fresh,focus,two_day,German_Chancellor_Angela_Merkel,Seven,wrap_up,Merkel,Greece,European_Union,Russian_backed,Canada,France,Germany,Italy,Japan,United_States,Bavarian,Crimean_Peninsula,Vladimir_Putin,Sochi
,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 24, 2015 Tuesday",163 of 272 DOCUMENTS,USA TODAY,STATE-BY-STATE; News from across the USA,,NEWS; Pg. 4A,,2012 words,,,"November 24, 2015",ENGLISH,,,graphic,,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,report,plan,state,police,people,new,million,find,local,look,three,official,try,force,forum,schedule,serve,fire,put,city,help,man,community,five,news,mail,possible,owner,student,employee,rate,link,project,facility,building,give,receive,wear,around,hand,show,lie,place,member,transportation,education,back,reach,team,face,raffle,law,register,plant,climate,change,journal,national,study,effort,especially,school,several,cancel,trip,nation,social,attack,consider,injury,home,business,resident,program,sunday,presidential,accord,jan,spend,water,nuclear,gather,saturday,charter,second,area,gov,sentence,federal,prison,six,hotel,ordinance,turn,work,clarify,electric,system,electricity
,46,8,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 8, 2015 Tuesday",164 of 272 DOCUMENTS,USA TODAY,"Beijing readies for three days of smog under first-ever red alert; Some blame weather for pollution's rise as officials seek school closings, restrict driving","Hannah Gardner, and Liz Szabo, USA TODAY",NEWS; Pg. 3A,,438 words,,,"December 8, 2015",ENGLISH,,,"photo HOW Hwee YOUNG, european pressphoto agency",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,air,pollution,red,alert,level,people,week,forecast,last,China,smog,city,system,issue,beijing,drive,activity,remain,high,three,government,world,warning,particle,set,car,give,Beijing,Clean_Air_Act,capital,monday,blanket,toxic,prepare,descend,restrict,construction,factory,hazardous,particulate,consecutive,urge,junior,middle,school,close,start,tuesday,warn,avoid,outdoor,heavy,pose,danger,everyone,especially,heart,disease,lung,condition,asthma,emphysema,chairman,department,allergy,immunology,visit,october,million,worldwide,die,every,death,health,organization,implement,ago,begin,acknowledge,devastating,impact,society,economy,deny,problem,exist,quality,improve,somewhat,harmful,regularly,acceptable,leader,continue,meet,talk,climate,change,part
,6,6,5,5,5,5,5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 18, 2015 Friday",165 of 272 DOCUMENTS,USA TODAY,"After four decades, good riddance to oil export ban",,NEWS; Pg. 7A,,504 words,,,"December 18, 2015",ENGLISH,,,"photo Matthew Staver, Bloomberg",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,ban,oil,export,time,producer,price,do,domestic,law,decade,gas,U.S.,recently,several,make,put,road,lesson,lawmaker,place,reduce,help,fuel,production,Arab,America,part,budget,deal,keep,government,run,another,crude,finally,set,lift,impose,response,embargoe,1970,long,outlive,usefulness,might,palpable,harm,benchmark,sell,dollar,less,per,barrel,international,market,difference,stem,dearth,option,send,refine,harder,turn,profit,attract,investor,global,collapse,eliminate,approximately,"100,000",job,surely,president,mind,sign,1975,solidly,energy,independence,secure,accord,institute,major,impact,gasoline,subsidize,refiner,benefit,captive,supply,buy,bargain,addition,case,study,unintended,consequence,provide
,9,9,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 24, 2015 Friday",176 of 272 DOCUMENTS,USA TODAY,"Koch: Not all about money; Explains his real agenda, how he's fighting 'evil' image","Fredreka Schouten, @fschouten, USA TODAY",NEWS; Pg. 1A,,1895 words,,,"April 24, 2015",ENGLISH,,,"photo Robert Deutsch, USA TODAY",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,company,Koch,political,government,Koch_Industries,make,network,election,million,brother,new,help,last,koch,think,spend,Kochs,drive,support,daily,go,advertising,employee,part,take,primary,move,Charles_Koch,power,we,oil,office,death,threat,campaign,show,life,tank,marketing,world,successful,group,agenda,americans,candidate,much,time,business,acquire,include,call,2016,general,force,democrat,interest,Wichita,David_Koch,empire,aggressive,defense,work,republican,root,increase,money,bottom,line,mean,many,thing,hurt,bank,subsidy,corporate,nearly,warming,record,change,step,week,reach,workout,gas,tell,sport,earlier,promote,game,university,public,communication,create,value,policy,advance,2014,prosperity,effort
,16,14,9,9,7,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 17, 2015 Friday",181 of 272 DOCUMENTS,USA TODAY,"Frackphobics sabotage our climate; If you care about the environment, protect it by using natural gas","Michael Shellenberger, and Ted Nordhaus",NEWS; Pg. 9A,,761 words,,,"July 20, 2015",ENGLISH,,,"photo Brennan Linsley, AP",,OPINION,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,gas,natural,coal,frack,environmental,energy,time,water,production,wind,global,warming,source,electricity,renewable,oil,change,leak,emit,dioxide,plant,impact,carbon,ago,fight,new,show,part,beyond,campaign,accord,ban,state,cheap,thanks,shale,place,lot,remain,transition,claim,make,reality,decade,burn,mercury,toxic,sulfur,clean,study,breakthrough,institute,benefit,generation,replace,solar,need,sun,without,locally,landscape,local,community,struggle,Sierra_Club,New_York,hard,remember,long,critical,tool,protect,environment,reason,report,release,eclip,largest,group,use,call,bridge,fuel,away,enthusiastic,accept,million,funding,interest,pay,later,movement,reverse,recently,successfully,lob,practice,crack,open
,27,11,11,8,6,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 20, 2015 Tuesday",184 of 272 DOCUMENTS,USA TODAY,Reports: Liberals win Canada vote; Results poised to end 10-year rule of Harper and Conservatives,"Gregg Zoroya and Greg Toppo, USA TODAY",NEWS; Pg. 3A,,528 words,,,"October 20, 2015",ENGLISH,,,"photo NICHOLAS KAMM, AFP/Getty Images",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,Trudeau,Harper,Canada,majority,vote,project,Canadian,monday,poll,election,government,win,seat,tax,economy,Liberal_Party,leader,late,lead,decade,prime,minister,national,parliamentary,form,rule,campaign,country,promise,bring,change,traditionally,conservative,relation,strong,pipeline,clash,support,recently,party,Liberals,Parliament,Alberta,United_States,Obama,New_Democratic_Party,whose,father,next,ousting,several,media,outlet,close,nation,along,sweep,still,open,west,coast,unclear,whether,minority,count,voter,choice,continue,nearly,turn,leave,give,edge,hope,rare,fourth,term,fill,338,last,week,longest,expensive,140,cut,middle,class,raise,wealthiest,boost,deficit,stimulate,sluggish,chance,real,end,adopt,home,province
,9,8,7,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 22, 2015 Thursday",185 of 272 DOCUMENTS,USA TODAY,THE 'FUTURE' IS HERE,"Patrick Ryan, @PatRyanWrites, USA TODAY",LIFE; Pg. 1D,,432 words,,,"October 22, 2015",ENGLISH,,,,,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,fan,know,Future,Lloyd,go,back,doc,lloyd,sequel,make,million,always,road,trilogy,oct,movie,become,change,right,someone,original,Marty,three,decade,kooky,scientist,christopher,still,can,lose,lab,coat,1989,1990,voice,animated,tv,spinoff,name,character,cameo,last,way,die,call,famous,line,street,people,hear,great,scott,need,smile,happy,30th,anniversary,mark,prophetic,milestone,mcfly,fox,2015,sneaker,tie,moviegoer,devour,jaw,win,world,series,1908,scene,bully,hoverboard,rampage,top,headline,futuristic,edition,today,use,drine,snap,photo,seemingly,unattainable,gadget,hoverboards,seem,edge,actually,reality,fly,car,complicated,certainly,cross,finger
,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 12, 2015 Thursday",202 of 272 DOCUMENTS,USA TODAY,Soldiers face crisis in substance-abuse care; Thousands needing help turned away,"Gregg Zoroya, USA TODAY",NEWS; Pg. 1A,,1408 words,,,"March 12, 2015",ENGLISH,,,photo Erich Schlegel for USA TODAY,,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,fort,Army,soldier,treatment,program,clinic,report,substance_abuse,care,clinical,staff,today,counselor,problem,show,USA,accord,last,standard,help,turn,away,dozen,poor,find,personnel,director,senior,member,decline,alcohol,abuse,va.,Cox,thousand,seek,suicide,2010,manager,time,good,five,job,file,post,patient,many,half,drug,fall,assessment,counseling,position,list,management,command,take,jb,md,need,link,medical,lead,substandard,hire,record,obtain,thing,psychologist,retire,fill,think,make,goal,give,describe,tell,kuehr,chronic,three,2012,begin,rating,hour,internal,base,treat,document,full,compliance,leader,cite,mission,number,2009,wait,leave,pain,panel
,21,18,13,13,11,9,9,9,8,8,8,7,7,7,7,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 25, 2015 Wednesday",204 of 272 DOCUMENTS,USA TODAY,"Playful Badgers grinning, winning","Eric Prisbell, @EricPrisbell, USA TODAY Sports",SPORTS; Pg. 1C,,1085 words,,,"March 25, 2015",ENGLISH,,,"photo Caylor Arnold, USA TODAY Sports",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,team,player,play,game,really,Ryan,Hayes,badger,way,word,muscle,flex,well,much,another,laughter,court,time,keep,need,happen,program,might,locker,room,sweet,fun,looser,take,seed,good,film,session,back,light,often,lose,joke,clip,character,start,may,Paris,Kaminsky,basketball,school,every,practice,sound,season,whether,pass,thing,coach,consistent,reason,work,especially,better,still,reach,consecutive,four,have,laugh,loose,personality,unique,mood,stop,think,use,go,grind,little,levity,tight,national,inside,top,serious,we,people,know,funny,anyone,Wisconsin,Koenig,recruit,high,guard,recall,hearing,hallmark,define,ever,emanate,silence,case
,16,9,8,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"May 5, 2015 Tuesday",211 of 272 DOCUMENTS,USA TODAY,STATE-BY-STATE; News from across the USA,,NEWS; Pg. 4A,,2030 words,,,"May 5, 2015",ENGLISH,,,graphic,,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,report,state,area,bee,official,last,school,local,three,make,part,earthquake,city,new,district,open,record,police,week,bill,expand,four,damage,remain,take,propose,project,student,tax,protect,home,may,receive,federal,million,accord,man,homicide,next,bird,gambling,president,allow,ordinance,work,june,set,public,estimate,know,trestle,middle,expert,remove,hife,queen,site,st,developer,office,many,join,group,park,pad,today,gov,sign,billion,average,driver,deputy,department,people,riding,national,nationally,farm,world,owner,plan,april,hundred,saturday,charge,grant,help,second,begin,international,dollar,increase,car,history,woman,suicide,send,leave,dead
,49,7,7,7,7,6,6,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 5, 2015 Tuesday",212 of 272 DOCUMENTS,USA TODAY,A-Rod case just one challenge for Clark,"Paul White, @PBJWhite, USA TODAY Sports",SPORTS; Pg. 4C,,434 words,,,"May 5, 2015",ENGLISH,,,"photo Sean Dougherty, USA TODAY Sports",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
,Clark,talk,baseball,player,union,relationship,go,next,season,bargaining,might,help,contract,home,run,bonus,discussion,reach,communicate,look,issue,labor,sport,always,challenge,2016,negotiation,agreement,new,previous,management,lead,navigate,have,able,find,drug,current,test,much,likely,dispute,yankee,approach,cause,optimism,broader,scope,item,despite,fanfare,continue,topic,executive,director,public,comment,trigger,660th,friday,representative,step,bubble,legal,arena,yet,probably,end,hand,arbitrator,part,almost,routine,relation,remove,last,work,stoppage,enter,collective,leader,table,graduate,commissioner,role,negotiator,know,we,deal,backdrop,economic,growth,fair,equitable,balance,dialog,initiative,mark,climate
,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 15, 2015 Friday",217 of 272 DOCUMENTS,USA TODAY,Anchor blasted for Clinton donation; ABC newsman gave money to foundation,"Roger Yu, @RogerJYu, USA TODAY",NEWS; Pg. 2A,,574 words,,,"May 15, 2015",ENGLISH,,,"photo Lou Rocco, ABC",,,NEWSPAPER,"Copyright 2015 Gannett Company, Inc.                               All Rights Reserved"
