PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 23, 2016 Friday",5 of 297 DOCUMENTS,Pittsburgh Post-Gazette,FUN WITH FROGS HAS A SERIOUS PURPOSE; MIDDLE SCHOOL STUDENTS HELP TO CONDUCT UNIVERSITY RESEARCH,David Templeton   Pittsburgh Post-Gazette,LOCAL; Pg. LX-1,,650 words,,,"September 26, 2016",ENGLISH,,,"PHOTO: Darrell Sapp: The molded frogs are embedded with sensors to help students contribute to research on climate change. PHOTO: Darrell Sapp: Darrell Sapp/Post-Gazette photos Madison Keck displays the ""frog"" she made from a mold and embedded with a sensor. The class took the frog figures outside and placed them around Pleasant Hills Middle School to measure temperature and moisture. PHOTO: Darrell Sapp: Darrell Sapp/Post-Gazette / Pleasant Hills- 09/14/2016 - for LocalXTRA- reporter Dave Templeton- Pleasant Hills Middle School-- Jennifer Kassimer passes out the ""frogs"" , her class made from molds and embeded them with sensors. The class took the ""frogs"" out and placed them in different settings, outside of Pleasant Hills Middle School. digital image - dsc_7890 slug - 20160914dsFROGS0916LocalXTRA02.jpg PHOTO: Darrell Sapp: Darrell Sapp/Post-Gazette / Pleasant Hills- 09/14/2016 - for LocalXTRA- reporter Dave Templeton- Pleasant Hills Middle School-- Thandar (CQ) Lin makes a sketch of the location of her ""frog"" , she made from molds and embeded it with a sensor. The class took the ""frogs"" out and placed them in different settings, outside of Pleasant Hills Middle School. digital image - dsc_7910 slug - 20160914dsFROGS0916LocalXTRA04.jpg",,,Newspaper,Copyright 2016 P.G. Publishing Co.
,frog,student,project,find,science,climate,change,draw,data,Pitt,leopard,agar,place,amphibians,tree,focus,task,learn,teacher,last,research,biology,figure,sensor,call,weight,work,impact,fungus,affect,teach,species,think,take,different,go,head,spot,climb,water,turtle,climate_change,Richards_Zawacki,keep,joy,many,formidable,challenge,northern,hop,action,week,tutelage,life,participate,pitt,professor,initiate,mold,gelatinous,material,contain,measure,temperature,indicate,moisture,level,area,fund,national,foundation,grant,study,determine,fungal,infection,chytridiomycosis,fatal,coldblood,include,grow,desire,integrate,education,middle,ms,hold,doctorate,ecology,evolutionary,every,continent,part,pathogen,amphibian,population,crash,disease,massive
"October 19, 2016 Wednesday",32 of 297 DOCUMENTS,Pittsburgh Post-Gazette,THE NEXT DEBATE MUST ADDRESS CLIMATE CHANGE,ROD ELDER,EDITORIAL; LETTERS TO THE EDITOR; Pg. A-8,,242 words,,,"October 19, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 P.G. Publishing Co.
,debate,plan,climate,way,issue,raise,question,candidate,deal,change,need,happen,level,flooding,presidential,seriously,flaw,many,minimal,amount,real,substance,however,crucially,important,moderator,ask,convert,green,energy,answer,effectively,assure,reasonable,future,country,planet,hard,believe,subject,ravage,last,hurricane,always,additional,foot,sea,combine,unprecedented,ocean,heat,juice,matthew,additionally,four,extreme,event,past,six,interesting,know,either,willing,put,fee,carbon,emission,advocate,best,meet,commitment,recently,approve,agreement,create,incentive,individual,corporation,find,solution,reduce,greenhouse,gas,elder,vice_presidential,Hurricane_Matthew,East_Coast,record_setting,thousand_year,Louisiana,Maryland,West_Virginia,Houston,Canada,Citizens_Climate_Lobby,U.S.,Paris,ROD,South_Park
,4,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 3, 2016 Wednesday",38 of 297 DOCUMENTS,Pittsburgh Post-Gazette,MELLON GRANT WILL SUPPORT RESEARCH AT NATURE RESERVE,"David Templeton, Pittsburgh Post-Gazette",LOCAL; Pg. B-1,,576 words,,,"August 4, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 P.G. Publishing Co.
,study,grant,bird,Powdermill,research,project,biological,profile,change,powdermill,center,use,program,species,college,student,measure,goal,complete,analysis,tree,along,environment,climate,result,three,percent,area,director,provide,migratory,region,premier,ecosystem,entire,money,mo,nanotag,radio,track,other,later,include,forest,education,Carnegie_Museum,Natural_History,Appalachian,Wenzel,last,summer,hire,identify,vegetation,plot,representative,patch,detailed,foliage,size,location,add,understanding,local,serve,baseline,future,environmental,adaptation,turn,official,hope,work,experimental,total,acre,good,enough,"700,000",ride,rescue,operate,near,support,technological,tool,necessary,among,various,bolster,reputation,ecological,help,become,nationally,important,field,station,chronicle
,6,6,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 27, 2016 Saturday",52 of 297 DOCUMENTS,Pittsburgh Post-Gazette,OBAMA FIDDLES WHILE TROUBLE SPOTS BURN,,EDITORIAL; Pg. A-6,,806 words,,,"February 29, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 P.G. Publishing Co.
,Iran,Mr._Obama,China,Russia,go,matter,Cuba,another,power,response,last,course,climate,change,American,U.S.,world,land,dispute,far,battery,island,create,facility,decade,war,regime,collapse,wave,secretary,state,agreement,send,weapon,major,advance,nuclear,billion,deal,strategic,hard,reach,visit,ever,indeed,mo,obama,know,really,South_China_Sea,anti_aircraft,East_Asia,Russian,Syria,Middle_East,Paris,Mr._Kerry,speck,sovereignty,border,install,station,fighter,jet,plane,artificial,chain,claim,function,forward,basis,challenge,seven,naval,dominance,clearly,militarize,commander,pacific,tell,tuesday,goal,hegemony,syria,intervention,turn,tide,rescue,relentless,bombing,destroy,rebel,stronghold,largest,city,massive,new,refuge,demonstrating
,7,7,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 8, 2016 Tuesday",62 of 297 DOCUMENTS,Pittsburgh Post-Gazette,BRITISH PM'S INDIAN OUTREACH FACES BLOCKAGE,Compiled from news services,WORLD; WORLD BRIEFS; Pg. A-5,,516 words,,,"November 9, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 P.G. Publishing Co.
,may,U.S.,monday,election,couple,Antarctica,u.k.,migration,arrange,meeting,senior,figure,double,visit,student,appear,ms.,future,ms,deal,company,trip,chance,climate,cocaine,seize,sailing,ransom,2008,Indian,prime,minister,theresa,clash,counterpart,rule,fail,blow,mo,modi,call,support,enroll,university,alongside,technology,summit,education,vital,define,engagement,share,dispute,sign,difficulty,ahead,seek,pave,way,country,outside,leave,bloc,separately,tell,reporter,unable,whose,"4,000",worker,steel,plant,south,wale,face,uncertain,announce,plan,sell,part,business,march,offer,recover,momentum,setback,home,last,week,result,roll,rest,world,sit,glue,screen,secretary,state,air
,5,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 4, 2016 Sunday",63 of 297 DOCUMENTS,Pittsburgh Post-Gazette,WHY YOUR YARD DEBRIS IS COMPOST GOLD FOR THE CITY,Brian O'Neill,LIFESTYLE; Pg. A-2,,776 words,,,"December 6, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 P.G. Publishing Co.
,city,debris,truck,recycl,make,leave,ton,tree,recyclable,pound,pick,big,mile,drive,less,cost,yard,ago,use,may,have,green,compost,around,every,carbon,landfill,Mr._Morris,bag,four,environmental,require,stay,answer,collection,three,dropoff,center,park,last,fuel,climate,figure,fertilizer,dioxide,gallon,average,apiece,accord,load,perhaps,trash,math,trip,percent,energy,point,savings,contract,end,rake,enough,hundred,crunchy,contribution,alley,among,253,annual,autumn,run,pickup,saturday,obviously,thousand,resident,appreciate,service,november,long,wonder,tradeoff,send,dozen,fossil,twice,stick,much,must,pluck,neither,ready,biannual,result,338,mulch,wood,chip,planting
,14,8,8,8,7,6,6,6,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 15, 2016 Thursday",82 of 297 DOCUMENTS,Pittsburgh Post-Gazette,EARTH NOT IN PERIL,MARTIN HERTZBERG,EDITORIAL; LETTERS TO THE EDITOR; Pg. A-8,,149 words,,,"December 15, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 P.G. Publishing Co.
,human,nothing,climate,change,issue,data,atmospheric,dec.,letter,apparently,believe,never,define,greedy,fossil,fuel,industry,cite,environmental,propagandist,much,worth,choose,argue,political,reality,neither,scientific,totality,support,supposition,carbon,dioxide,driver,emission,controls,peril,go,climate4you.com,real,show,unusual,happen,normal,variability,time,thorough,analysis,find,recent,paper,publish,journal,energy,environment,hertzberg,mt,Allison_Mathis,Earth_Mandate,CO2,Earth,Climate,British,MARTIN,Lebanon
,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 2, 2016 Monday",84 of 297 DOCUMENTS,Pittsburgh Post-Gazette,LAST GASPS OF DENIAL,"JIM LeJEUNE, McCandless",EDITORIAL; LETTERS TO THE EDITOR; Pg. A-14,,330 words,,,"May 2, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 P.G. Publishing Co.
,side,science,column,climate,tobacco,conservative,unfortunately,offer,point,longer,publish,climatologist,suggest,f.,rarest,species,field,journalism,intellectual,writer,attention,must,pay,april,natter,bit,peril,progressivism,we,boilerplate,narrative,anthropocentric,change,arrive,finally,thematic,suppression,argument,serve,neither,public,good,truth,another,defend,ten,ago,five,counterargument,might,hold,least,legitimacy,climatology,buoy,continual,stream,evidence,move,realm,settle,denialism,mere,perversity,note,recent,research,paper,able,locate,four,entirely,accept,current,consensus,updating,way,put,bed,notion,percent,believe,etc,rather,defense,journalistic,freedom,analogous,last,bleating,harmless,camp,deem,acceptable,industry,allot,equal,time,media
,4,4,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 29, 2016 Thursday",107 of 297 DOCUMENTS,Pittsburgh Post-Gazette,BYLINE: From staff and wire reports,,BUSINESS; BUSINESS BRIEFS; Pg. D-1,,628 words,,,"September 29, 2016",ENGLISH,,,"PHOTO: Ford announced Wednesday the company is recalling about 74,000 Focus hatchback cars with manual transmissions in the U.S. and Canada.",,,Newspaper,Copyright 2016 P.G. Publishing Co.
,state,building,company,tax,million,shareholder,takeover,acquire,plan,last,rank,climate,move,youth,program,world,deal,billion,approve,recall,hatchback,car,bankruptcy,build,h.j,heinz,research,group,give,rate,follow,award,1.1,complete,biggest,beer,maker,clear,hurdle,inb,pound,share,ford,focus,hatch,unlatched,pier,import,discourage,week,retailer,stock,percent,chain,file,chapter,cosi,restaurant,remain,Pennsylvania,U.S.,SABMiller,development,developer,former,convert,125,apartment,intend,restore,historic,public,lobby,1075,progress,st,location,three,period,family,member,administration,erect,1907,founder,1958,ii,improve,four,spot,annual,d.c.,low,mark,corporate,44th,among,unemployment,insurance
,8,6,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 28, 2016 Sunday",116 of 297 DOCUMENTS,Pittsburgh Post-Gazette,A GREEN APPROACH TO SEWER OVERFLOW IS BEST FOR ALL,"\ \ BRENDA LYNN SMITH, Executive Director, Nine Mile Run Watershed Association, Wilkinsburg",EDITORIAL; LETTERS TO THE EDITOR; Pg. D-2,,271 words,,,"March 1, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 P.G. Publishing Co.
,region,approach,problem,sustainable,serious,sewer,better,delay,treatment,plant,make,found,member,work,five,move,toward,equitable,solving,overflow,clearly,deal,ratepayer,achieve,environmental,result,simply,stage,differently,disappointing,characterize,attempt,action,fix,time,feb,editorial,fact,pleased,political,leadership,authority,united,request,department,justice,approve,adaptive,management,allow,we,solve,smarter,way,pittsburgh,feb.,originally,propose,solution,aggravate,already,air,quality,expand,maximize,flow,reduction,use,innovative,green,technology,bring,multiple,additional,benefit,prepare,effect,climate,change,evaluate,progress,effort,continue,best,investment,base,evidence,grandchild,still,pay,decision,today,appreciate,force,go,treat,rain,sewage,perpetuity
,4,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 17, 2016 Thursday",117 of 297 DOCUMENTS,Pittsburgh Post-Gazette,RISING CRISIS; NEW ESTIMATES ON HIGH WATERS CALL FOR ACTION,,EDITORIAL; Pg. A-10,,228 words,,,"March 17, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 P.G. Publishing Co.
,rise,sea,level,people,coastal,end,century,population,inch,flooding,million,scenario,face,United_States,21st,trigger,greatest,movement,americans,northward,last,new,study,journal,number,affect,three,time,higher,previously,think,former,way,assess,disruption,look,current,infrastructure,project,exodus,due,seas,revise,method,take,account,likely,growth,update,forecast,35.4,2100,lead,displace,4.2,70.9,high,scale,13.1,risk,disastrous,city,especially,obviously,calamitous,flood,nation,particularly,already,prone,greater,threat,doubt,go,trend,continue,job,economy,threaten,mean,leader,must,stop,debate,deny,focus,instead,protective,measure,might,head,disaster,Great_Migration,African_Americans,South,Nature_Climate_Change,U.S.,Southeast,South_Asia
,5,5,5,4,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 8, 2016 Sunday",123 of 297 DOCUMENTS,Pittsburgh Post-Gazette,BYLINE: GARY ROTSTEIN,,LOCAL; IN THE LAST WEEK; Pg. B-1,,435 words,,,"May 10, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 P.G. Publishing Co.
,make,limit,event,new,mph,Pittsburgh,top,likely,among,winter,speed,raise,state,area,sport,keep,give,nonprofit,agency,region,money,Pittsburgh_City_Council,follow,news,quiz,test,knowledge,local,past,week,hint,answer,find,initial,option,rather,later,propose,ordinance,introduce,president,prohibit,use,wild,exotic,animal,purpose,entertainment,public,circus,critic,believe,subject,cruel,treatment,predictor,end,candidate,many,interstate,remain,highway,within,congestion,urban,unsafe,summer,construction,season,post,provoke,dangerously,uncontrollable,laughter,motorist,might,force,unwanted,delay,upon,driver,go,yield,sign,pittsburgh,fan,upset,three,lopsided,loss,home,appear,another,appearance,best,hope,success,goalie,matt
,6,5,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 14, 2016 Thursday",127 of 297 DOCUMENTS,Pittsburgh Post-Gazette,GM LIABLE FOR BILLIONS IN INJURY CLAIMS,Compiled from news services,NATIONAL; NATIONAL BRIEFS; Pg. A-6,,524 words,,,"July 15, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 P.G. Publishing Co.
,court,bankruptcy,wednesday,case,rule,claim,charge,man,police,attorney,general,library,appeal,use,switch,ago,panel,gm,company,close,tuesday,trial,officer,judge,previous,subpoena,chairman,record,smith,act,seat,GM,Gray,New_York,WASHINGTON,Exxon_Mobil,federal,can,2009,fend,lawsuit,faulty,dangerous,ignition,expose,automaker,billion,additional,liability,accord,legal,expert,2nd,u.,know,defective,enter,seven,keep,secret,fail,disclose,problem,prevent,crash,victim,make,contest,provision,rob,due,process,opinion,essentially,ask,reward,conceal,decline,term,emerge,refer,indemnify,old,defense,rest,lt,testimony,former,medical,examiner,call,young,fatal,injury,custody,accident,argument,set,begin
,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 26, 2016 Monday",135 of 297 DOCUMENTS,Pittsburgh Post-Gazette,ARMY OFFICIALS LIFT FEMALE BOXING BAN,Compiled from news services,NATIONAL; NATIONAL BRIEFS; Pg. A-5,,565 words,,,"September 27, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 P.G. Publishing Co.
,woman,last,drug,box,morning,approve,outbreak,seven,people,saturday,cause,week,power,cadet,military,female,fall,student,move,follow,time,allow,show,become,sunday,replace,telecast,alternative,federal,friday,disease,include,e.,coli,center,multistate,e.coli,sicken,link,beef,product,old,nation,electricity,system,state,resettlement,rocket,U.S.,Pauley,Humira,Disease_Control,Adams_Farms_Slaughterhouse,Athol,Massachusetts,Pennsylvania,squar,ring,academy,circle,glove,watch,classmate,already,suffer,bloody,nose,stay,aggressive,bouncing,ball,foot,deliver,occasional,jab,part,point,must,beginning,official,shift,ban,take,course,require,approximately,"1,000",class,2020,historic,decision,fully,integrate,combat,role,mark,barrier,anything,qualified
,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 1, 2016 Tuesday",139 of 297 DOCUMENTS,Pittsburgh Post-Gazette,MCCLELLAND IN THE 12TH; A WORTHY CHALLENGER TO THE INCUMBENT ROTHFUS,,EDITORIAL; Pg. A-6,,376 words,,,"November 2, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 P.G. Publishing Co.
